step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,-9.860761315e-31,5.176899691e-31,4.129193801e-31,5.176899691e-31,0,-9.860761315e-31,0
1,0,8.876910753e-08,0.2972171967,1.880810618e-08,0.2972171967,0,8.876910753e-08,0
2,0,-1.862753115e-06,0.530544641,-1.528138464e-06,0.530544641,0,-1.862753115e-06,0
3,0,-8.427327456e-06,0.706967482,-6.413796193e-06,0.706967482,0,-8.427327456e-06,0
4,0,-8.223393466e-06,0.8335114275,-6.317341266e-06,0.8335114275,0,-8.223393466e-06,0
5,0,-6.36115129e-06,0.9180156398,-4.936683763e-06,0.9180156398,0,-6.36115129e-06,0
6,0,-4.140859834e-06,0.9682625447,-3.194253176e-06,0.9682625447,0,-4.140859834e-06,0
7,0,-1.911958593e-06,0.991862714,-1.176200098e-06,0.991862714,0,-1.911958593e-06,0
8,0,-7.684639894e-06,0.9960549677,-5.616057851e-06,0.9960549677,0,-7.684639894e-06,0
9,0,-2.556152993e-06,0.9865579553,-2.041628382e-06,0.9865579553,0,-2.556152993e-06,0
10,0,-8.270003678e-07,0.9670670068,-7.753095348e-07,0.9670670068,0,-8.270003678e-07,0
11,0,-8.634510564e-07,0.9441610693,-6.574434528e-07,0.9441610693,0,-8.634510564e-07,0
12,0,7.762204562e-08,0.9235444551,1.379813953e-08,0.9235444551,0,7.762204562e-08,0
13,0,4.024853973e-07,0.9083929638,2.665213023e-07,0.9083929638,0,4.024853973e-07,0
14,0,3.030215065e-07,0.8999868971,2.303328321e-07,0.8999868971,0,3.030215065e-07,0
15,0,2.740389535e-07,0.8977626783,2.160236223e-07,0.8977626783,0,2.740389535e-07,0
16,0,2.449715406e-07,0.8999443398,1.852314218e-07,0.8999443398,0,2.449715406e-07,0
17,0,2.45347563e-07,0.9044902009,1.764214063e-07,0.9044902009,0,2.45347563e-07,0
18,0,1.058668597e-07,0.9095849171,8.096834694e-08,0.9095849171,0,1.058668597e-07,0
19,0,2.204503073e-08,0.9139365008,2.349678674e-08,0.9139365008,0,2.204503073e-08,0
20,0,5.432090486e-09,0.9167907003,1.096169773e-08,0.9167907003,0,5.432090486e-09,0
21,0,-9.02298909e-09,0.9180630687,4.625580865e-10,0.9180630687,0,-9.02298909e-09,0
22,0,-1.451097054e-08,0.9180251461,-3.542346964e-09,0.9180251461,0,-1.451097054e-08,0
23,0,-9.350684753e-09,0.9171271075,-7.82316642e-11,0.9171271075,0,-9.350684753e-09,0
24,0,1.360212078e-08,0.9158495706,1.617139629e-08,0.9158495706,0,1.360212078e-08,0
25,0,4.293367034e-08,0.9145626092,3.704803421e-08,0.9145626092,0,4.293367034e-08,0
26,0,8.042624673e-08,0.9134988883,6.44965121e-08,0.9134988883,0,8.042624673e-08,0
27,0,1.239862228e-07,0.912747452,9.635057239e-08,0.912747452,0,1.239862228e-07,0
28,0,1.700167908e-07,0.9122973163,1.300420799e-07,0.9122973163,0,1.700167908e-07,0
29,0,2.15039195e-07,0.9120732834,1.630159318e-07,0.9120732834,0,2.15039195e-07,0
30,0,2.584060844e-07,0.9119741529,1.949673261e-07,0.9119741529,0,2.584060844e-07,0
31,0,3.00839082e-07,0.9119059892,2.262813648e-07,0.9119059892,0,3.00839082e-07,0
32,0,3.424501187e-07,0.9118012491,2.570123406e-07,0.9118012491,0,3.424501187e-07,0
33,0,3.828105436e-07,0.9116223101,2.868569221e-07,0.9116223101,0,3.828105436e-07,0
34,0,4.200822764e-07,0.9113569918,3.144107697e-07,0.9113569918,0,4.200822764e-07,0
35,0,4.545014635e-07,0.9110113368,3.398405039e-07,0.9110113368,0,4.545014635e-07,0
36,0,4.854225314e-07,0.9106011251,3.626989126e-07,0.9106011251,0,4.854225314e-07,0
37,0,5.132709102e-07,0.9101445533,3.832286052e-07,0.9101445533,0,5.132709102e-07,0
38,0,5.385385037e-07,0.9096571371,4.017717745e-07,0.9096571371,0,5.385385037e-07,0
