step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,1.002305238,0,0.8094065584,0.497102372,0.651629444,2.032622254,1.168163506,501879.9516
1,0,3,1.002305238,0.1591928323,0.6465477579,0.2666289505,0.3847637839,1.632402409,0.9085559688,404427.5502
2,0,3,1.00461579,0.1595598097,0.5220680584,0.227959863,0.3217438257,1.321668702,0.7373682939,313908.3761
3,0,3,1.006931669,0.159927633,0.4320390708,0.2239067639,0.3039857778,1.093927285,0.6176318192,232105.2552
4,0,3,1.009252886,0.1602963043,0.3676807589,0.2212073696,0.2896699384,0.9300669446,0.5322252896,161821.622
5,0,3,1.011579454,0.1606658255,0.3233383107,0.2138930731,0.2723284539,0.8169033222,0.4721736266,128105.4837
6,0,3,1.013911386,0.1610361984,0.2953644986,0.2003997597,0.2503652846,0.7457548759,0.4319239984,105191.5444
7,0,3,1.016248693,0.1614074252,0.2774326088,0.1840664796,0.2269919434,0.700905626,0.4042410668,104716.5254
8,0,3,1.018591388,0.1617795078,0.2627655985,0.1671373696,0.205149847,0.664772922,0.3811135519,98714.42075
9,0,3,1.020939484,0.162152448,0.2490952502,0.1516200385,0.1864154302,0.6311317607,0.3599010599,78725.10091
10,0,3,1.023292992,0.162526248,0.2333490218,0.1395587097,0.1714749911,0.5917966834,0.336732604,71650.8147
11,0,3,1.025651926,0.1629009097,0.2157567119,0.1306698379,0.1599642873,0.5471875171,0.3117003037,61784.64071
12,0,3,1.028016298,0.1632764351,0.1976097086,0.1235763497,0.1496379077,0.5009290818,0.2862001745,53625.85925
13,0,3,1.03038612,0.1636528262,0.1810503499,0.1163619611,0.1394843416,0.4586017022,0.2627216864,49416.94619
14,0,3,1.032761406,0.1640300849,0.1677818145,0.1087838393,0.1290306106,0.4249364987,0.243518268,40409.53571
15,0,3,1.035142167,0.1644082133,0.1565755707,0.1006441037,0.118923265,0.3966555322,0.2270041295,37450.07934
16,0,3,1.037528416,0.1647872134,0.1462518944,0.09328031023,0.1098679065,0.3705800555,0.2118321076,32211.982
17,0,3,1.039920166,0.1651670871,0.1363525187,0.08680609108,0.1018874132,0.3455486476,0.1974286071,28317.0002
18,0,3,1.042317429,0.1655478366,0.1266755602,0.08122544244,0.09485758435,0.3209805368,0.1834875584,25446.37995
19,0,3,1.044720219,0.1659294638,0.1177663279,0.07616182059,0.08834797662,0.2983631282,0.1706571505,21153.27071
20,0,3,1.047128548,0.1663119707,0.1096536231,0.0713168861,0.08227052909,0.2777773515,0.1589329357,19711.50712
21,0,3,1.049542429,0.1666953594,0.1023542124,0.06679384329,0.07659633601,0.25927501,0.1483478444,16590.46695
22,0,3,1.051961874,0.1670796318,0.09568154884,0.06245949731,0.07133644864,0.2423789302,0.1386475589,15157.68611
23,0,3,1.054386896,0.1674647902,0.08948776887,0.05857977674,0.06655637332,0.2266843588,0.1296680381,13273.90915
24,0,3,1.056817509,0.1678508364,0.08372190831,0.05496651964,0.06214590957,0.2120719992,0.1213129457,11579.91642
25,0,3,1.059253725,0.1682377725,0.07837821101,0.05166854425,0.05811759221,0.1985217702,0.1135796309,10488.99499
26,0,3,1.061695557,0.1686256006,0.07344045146,0.04861157223,0.05438286566,0.1860016766,0.1064315562,8804.224382
27,0,3,1.064143018,0.1690143228,0.06890946275,0.04574552585,0.05093920038,0.1745138284,0.09986371419,8756.365061
28,0,3,1.066596121,0.1694039411,0.06472018633,0.04312035879,0.04776082565,0.1638912044,0.09379431116,9311.671582
29,0,3,1.069054879,0.1697944575,0.06085569451,0.0406549038,0.04482393734,0.1540901779,0.08818900872,9896.144056
30,0,3,1.071519305,0.1701858741,0.05728821275,0.03840189045,0.0421260737,0.1450402968,0.08301797742,10509.33181
31,0,3,1.073989412,0.1705781931,0.05398354617,0.036293435,0.03963075836,0.1366548033,0.07822494641,11150.17519
32,0,3,1.076465214,0.1709714164,0.05095593845,0.03435217908,0.03733702922,0.1289715744,0.07383139681,11816.78226
33,0,3,1.078946722,0.1713655462,0.0481476357,0.03255643803,0.03521853995,0.1218418841,0.06975655301,12507.81377
34,0,3,1.081433951,0.1717605846,0.04557191133,0.0308851632,0.03326558281,0.1152997975,0.06601389004,13221.64729
35,0,3,1.083926914,0.1721565337,0.04320243288,0.02935470229,0.03146886318,0.1092804035,0.06257124877,13956.358
