step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,4.878830366e-07,1,0,0
2,3,5.629283964e-07,1,3.397744146e-07,0.1591928323
3,3,6.953655244e-07,1,3.465633065e-07,0.1595598097
4,3,7.95959566e-07,1,3.523679551e-07,0.159927633
5,3,8.687276314e-07,1,3.5610624e-07,0.1602963043
6,3,9.214417052e-07,1,3.586861333e-07,0.1606658255
7,3,9.50789636e-07,1,3.613295212e-07,0.1610361984
8,3,9.658611821e-07,1,3.638806383e-07,0.1614074252
9,3,9.826373581e-07,1,3.662285151e-07,0.1617795078
10,3,1.000681706e-06,1,3.682983394e-07,0.162152448
11,3,1.035955722e-06,1,3.697474925e-07,0.162526248
12,3,1.090066369e-06,1,3.700612171e-07,0.1629009097
13,3,1.161179937e-06,1,3.707088659e-07,0.1632764351
14,3,1.245808324e-06,1,3.716721576e-07,0.1636528262
15,3,1.329500387e-06,1,3.728158268e-07,0.1640300849
16,3,1.42069344e-06,1,3.740904785e-07,0.1644082133
17,3,1.523232144e-06,1,3.753298595e-07,0.1647872134
18,3,1.644855191e-06,1,3.764860972e-07,0.1651670871
19,3,1.790103884e-06,1,3.772234406e-07,0.1655478366
20,3,1.956182042e-06,1,3.779727866e-07,0.1659294638
21,3,2.146345858e-06,1,3.78816731e-07,0.1663119707
22,3,2.358981861e-06,1,3.797287354e-07,0.1666953594
23,3,2.602434051e-06,1,3.806741775e-07,0.1670796318
24,3,2.878840387e-06,1,3.816279714e-07,0.1674647902
25,3,3.197290219e-06,1,3.82487443e-07,0.1678508364
26,3,3.559964183e-06,1,3.833503366e-07,0.1682377725
27,3,3.97510691e-06,1,3.842396975e-07,0.1686256006
28,3,4.448814126e-06,1,3.851477662e-07,0.1690143228
29,3,4.992206959e-06,1,3.860625667e-07,0.1694039411
30,3,5.621589589e-06,1,3.869767803e-07,0.1697944575
31,3,6.352683099e-06,1,3.878866266e-07,0.1701858741
32,3,7.217270816e-06,1,3.887910683e-07,0.1705781931
33,3,8.243670169e-06,1,3.896917487e-07,0.1709714164
34,3,9.486094013e-06,1,3.905911971e-07,0.1713655462
35,3,1.10003881e-05,1,3.91490573e-07,0.1717605846
36,3,1.285935116e-05,1,3.923921015e-07,0.1721565337
37,3,1.515677347e-05,1,3.932969554e-07,0.1725533955
38,3,1.796893694e-05,1,3.94205683e-07,0.1729511721
39,3,2.140669127e-05,1,3.951183306e-07,0.1733498657
40,3,2.554340317e-05,1,3.960346252e-07,0.1737494785
41,3,3.044163545e-05,1,3.969541579e-07,0.1741500124
