step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,0.0001467761733,0.001025439799,6.263079769e-05,0.001025439799,0,0.0001467761733,0
1,0,0.000147455683,0.001025425681,6.27646402e-05,0.001025425681,0,0.000147455683,0
2,0,0.000147858095,0.0010254308,6.28412686e-05,0.0010254308,0,0.000147858095,0
3,0,0.0001480789648,0.001025447701,6.28957015e-05,0.001025447701,0,0.0001480789648,0
4,0,0.0001481591091,0.001025474228,6.292105828e-05,0.001025474228,0,0.0001481591091,0
5,0,0.0001481514525,0.001025501687,6.29242095e-05,0.001025501687,0,0.0001481514525,0
6,0,0.0001481000758,0.001025527377,6.291278053e-05,0.001025527377,0,0.0001481000758,0
7,0,0.0001480387797,0.001025551674,6.289480914e-05,0.001025551674,0,0.0001480387797,0
8,0,0.0001479909957,0.001025579832,6.287796468e-05,0.001025579832,0,0.0001479909957,0
9,0,0.000147968203,0.00102561639,6.286682124e-05,0.00102561639,0,0.000147968203,0
10,0,0.0001479708244,0.001025663311,6.286171318e-05,0.001025663311,0,0.0001479708244,0
11,0,0.0001479948924,0.001025719121,6.286202736e-05,0.001025719121,0,0.0001479948924,0
12,0,0.0001480365538,0.001025780362,6.286819803e-05,0.001025780362,0,0.0001480365538,0
13,0,0.0001480884597,0.001025842863,6.287800485e-05,0.001025842863,0,0.0001480884597,0
14,0,0.0001481472893,0.001025902752,6.28916694e-05,0.001025902752,0,0.0001481472893,0
15,0,0.0001482090535,0.001025957456,6.290809526e-05,0.001025957456,0,0.0001482090535,0
16,0,0.0001482706757,0.001026005305,6.292607524e-05,0.001026005305,0,0.0001482706757,0
17,0,0.0001483299914,0.001026045591,6.294444976e-05,0.001026045591,0,0.0001483299914,0
18,0,0.0001483857749,0.001026078776,6.296235443e-05,0.001026078776,0,0.0001483857749,0
19,0,0.0001484373354,0.001026106634,6.297913859e-05,0.001026106634,0,0.0001484373354,0
20,0,0.0001484841157,0.001026131975,6.299423552e-05,0.001026131975,0,0.0001484841157,0
