step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,3.082667257e-05,1,0,0
2,3,3.433372964e-05,1,3.599396041e-07,0.1591926631
3,3,3.984819377e-05,1,3.607692183e-07,0.1595596401
4,3,4.482332012e-05,1,3.616007656e-07,0.1599274631
5,3,4.627029574e-05,1,3.62434259e-07,0.160296134
6,3,4.597781573e-05,1,3.632697042e-07,0.1606656547
7,3,4.699887792e-05,1,3.641071033e-07,0.1610360273
8,3,5.032769388e-05,1,3.649464562e-07,0.1614072537
9,3,5.515227136e-05,1,3.657877626e-07,0.1617793358
10,3,5.922754571e-05,1,3.666310225e-07,0.1621522757
11,3,6.095620274e-05,1,3.674762364e-07,0.1625260753
12,3,6.142746057e-05,1,3.683234057e-07,0.1629007366
13,3,6.251478368e-05,1,3.691725328e-07,0.1632762616
14,3,6.492042165e-05,1,3.700236205e-07,0.1636526523
15,3,6.803659208e-05,1,3.708766723e-07,0.1640299106
16,3,7.062138912e-05,1,3.717316921e-07,0.1644080386
17,3,7.200584383e-05,1,3.725886842e-07,0.1647870383
18,3,7.268252566e-05,1,3.734476529e-07,0.1651669116
19,3,7.350991313e-05,1,3.743086028e-07,0.1655476607
20,3,7.482710734e-05,1,3.751715386e-07,0.1659292874
