step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,1.002305238,0,3.528855035e-05,5.168046477e-05,2.499927263e-05,8.891904276e-05,5.578465744e-05,98.23450395
1,0,3,1.002305238,0.1591926631,3.093796166e-05,5.158409493e-05,2.318315475e-05,7.79485092e-05,5.057545124e-05,91.47963756
2,0,3,1.00461579,0.1595596401,2.4717963e-05,5.152174318e-05,2.448287801e-05,6.231854397e-05,4.40127253e-05,77.47076529
3,0,3,1.006931669,0.1599274631,1.98924888e-05,5.147638806e-05,2.606054314e-05,5.023553016e-05,3.952306301e-05,61.78283972
4,0,3,1.009252886,0.160296134,1.903627135e-05,5.144195808e-05,2.563458771e-05,4.81416044e-05,3.86762228e-05,42.66310407
5,0,3,1.011579454,0.1606656547,2.012479634e-05,5.140449211e-05,2.334416974e-05,5.091010881e-05,3.931990169e-05,41.4508159
6,0,3,1.013911386,0.1610360273,2.004812286e-05,5.135881378e-05,2.063176352e-05,5.074771888e-05,3.886082739e-05,39.9598764
7,0,3,1.016248693,0.1614072537,1.791244835e-05,5.13083606e-05,1.897630862e-05,4.542983005e-05,3.666528815e-05,40.29239835
8,0,3,1.018591388,0.1617793358,1.459167992e-05,5.126322856e-05,1.863791487e-05,3.718743036e-05,3.380500174e-05,32.97438877
9,0,3,1.020939484,0.1621522757,1.18853948e-05,5.122962172e-05,1.868816166e-05,3.052208055e-05,3.180637334e-05,24.62533162
10,0,3,1.023292992,0.1625260753,1.112164919e-05,5.120677199e-05,1.823192713e-05,2.867051689e-05,3.122589584e-05,17.98229645
11,0,3,1.025651926,0.1629007366,1.147710098e-05,5.118915747e-05,1.718291371e-05,2.955455673e-05,3.130805821e-05,19.011746
12,0,3,1.028016298,0.1632762616,1.13690049e-05,5.117312456e-05,1.607559003e-05,2.928947411e-05,3.108150912e-05,24.27837911
13,0,3,1.03038612,0.1636526523,1.019526621e-05,5.115657913e-05,1.544489571e-05,2.641301843e-05,3.023711042e-05,24.98473443
14,0,3,1.032761406,0.1640299106,8.321979046e-06,5.113976434e-05,1.532966557e-05,2.187249992e-05,2.914590765e-05,20.61690603
15,0,3,1.035142167,0.1644080386,6.687257542e-06,5.112364163e-05,1.535166067e-05,1.799131899e-05,2.836241876e-05,14.16494732
16,0,3,1.037528416,0.1647870383,6.108263312e-06,5.110861518e-05,1.518437144e-05,1.665403735e-05,2.809503302e-05,14.12663333
17,0,3,1.039920166,0.1651669116,6.279230867e-06,5.109392512e-05,1.481042242e-05,1.706099437e-05,2.810891347e-05,14.0855289
18,0,3,1.042317429,0.1655476607,6.309637776e-06,5.107896514e-05,1.442897242e-05,1.713282081e-05,2.806510735e-05,14.04132833
19,0,3,1.044720219,0.1659292874,5.827826607e-06,5.10639106e-05,1.422069643e-05,1.601242991e-05,2.783932761e-05,13.99512912
20,0,3,1.047128548,0.166311794,5.037388415e-06,5.104955295e-05,1.418915449e-05,1.420808035e-05,2.754375515e-05,13.94879236
