x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-0.4995066821,-0.01569762988,0.9995065604,0.03141075908,71.95604521,1.054947571,0.01732378254,1.005238682,0,0,0,WALL
-0.4975353574,-0.04703093827,0.9955619646,0.09410831332,71.9451506,1.033158338,0.04891799807,1.005093955,0,0,0,WALL
-0.493600488,-0.07817863704,0.9876883406,0.156434465,71.92392189,0.990700922,0.07982486264,1.0048124,0,0,0,WALL
-0.487717603,-0.1090178004,0.9759167619,0.2181432414,71.89305002,0.928957174,0.1095907639,1.004403236,0,0,0,WALL
-0.4799099194,-0.1394267204,0.9602936857,0.278991106,71.85327091,0.849398972,0.137850272,1.00387627,0,0,0,WALL
-0.4702082505,-0.1692853868,0.940880769,0.3387379202,71.80546814,0.7537934217,0.1642449512,1.003243192,0,0,0,WALL
-0.4586508846,-0.1984759611,0.9177546257,0.3971478906,71.75061697,0.6440910848,0.1884311814,1.002516855,0,0,0,WALL
-0.4452834331,-0.2268832414,0.8910065242,0.4539904997,71.68979318,0.522443508,0.2100631679,1.00171146,0,0,0,WALL
-0.4301586514,-0.2543951173,0.860742027,0.5090414158,71.62422942,0.3913159871,0.2287931148,1.000843232,0,0,0,WALL
-0.41333623,-0.2809030118,0.8270805743,0.5620833779,71.55534597,0.2535490792,0.2442900256,0.9999309191,0,0,0,WALL
-0.3948825593,-0.3063023105,0.7901550124,0.6129070537,71.48474625,0.1123496439,0.2562615489,0.9989957454,0,0,0,WALL
-0.3748704675,-0.3304927739,0.7501110696,0.6613118653,71.41416663,-0.02880959972,0.2644700635,0.998060784,0,0,0,WALL
-0.3533789333,-0.3533789333,0.7071067812,0.7071067812,71.3453872,-0.1663684637,0.2687370875,0.9971497634,0,0,0,WALL
-0.3304927739,-0.3748704675,0.6613118653,0.7501110696,71.280147,-0.2968488482,0.2689160737,0.9962858779,0,0,0,WALL
-0.3063023105,-0.3948825593,0.6129070537,0.7901550124,71.22019949,-0.4167438817,0.2649482415,0.9954924504,0,0,0,WALL
-0.2809030118,-0.41333623,0.5620833779,0.8270805743,71.16701897,-0.5231049238,0.2568839494,0.9947891925,0,0,0,WALL
-0.2543951173,-0.4301586514,0.5090414158,0.860742027,71.1218783,-0.6133862594,0.244909058,0.9941929604,0,0,0,WALL
-0.2268832414,-0.4452834331,0.4539904997,0.8910065242,71.08553168,-0.6860794993,0.2293513335,0.993713659,0,0,0,WALL
-0.1984759611,-0.4586508846,0.3971478906,0.9177546257,71.0583521,-0.7404386516,0.21066038,0.9933559266,0,0,0,WALL
-0.1692853868,-0.4702082505,0.3387379202,0.940880769,71.04024213,-0.7766585958,0.1894447499,0.9931180987,0,0,0,WALL
-0.1394267204,-0.4799099194,0.278991106,0.9602936857,71.03066972,-0.7958034105,0.1664535945,0.9929926496,0,0,0,WALL
-0.1090178004,-0.487717603,0.2181432414,0.9759167619,71.02864961,-0.7998436352,0.1424806418,0.9929658864,0,0,0,WALL
