x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-0.4995066821,-0.01569762988,0.9995065604,0.03141075908,71.95605453,1.054966211,0.01734211789,1.005238709,0,0,0,WALL
-0.4975353574,-0.04703093827,0.9955619646,0.09410831332,71.94516066,1.033178453,0.04893897484,1.005093948,0,0,0,WALL
-0.493600488,-0.07817863704,0.9876883406,0.156434465,71.92393234,0.9907218327,0.07984868902,1.004812343,0,0,0,WALL
-0.487717603,-0.1090178004,0.9759167619,0.2181432414,71.89306058,0.9289783018,0.1096176581,1.004403112,0,0,0,WALL
-0.4799099194,-0.1394267204,0.9602936857,0.278991106,71.85328132,0.8494197887,0.1378804627,1.003876062,0,0,0,WALL
-0.4702082505,-0.1692853868,0.940880769,0.3387379202,71.80547809,0.7538133307,0.1642786778,1.00324288,0,0,0,WALL
-0.4586508846,-0.1984759611,0.9177546257,0.3971478906,71.75062595,0.6441090428,0.188468637,1.002516418,0,0,0,WALL
-0.4452834331,-0.2268832414,0.8910065242,0.4539904997,71.68980058,0.5224582935,0.2101044909,1.00171087,0,0,0,WALL
-0.4301586514,-0.2543951173,0.860742027,0.5090414158,71.62423478,0.3913266963,0.2288384347,1.000842467,0,0,0,WALL
-0.41333623,-0.2809030118,0.8270805743,0.5620833779,71.55534889,0.2535549272,0.2443394962,0.9999299583,0,0,0,WALL
-0.3948825593,-0.3063023105,0.7901550124,0.6129070537,71.48474604,0.112349229,0.2563152126,0.9989945626,0,0,0,WALL
-0.3748704675,-0.3304927739,0.7501110696,0.6613118653,71.41416319,-0.02881647248,0.264527995,0.9980593612,0,0,0,WALL
-0.3533789333,-0.3533789333,0.7071067812,0.7071067812,71.34538011,-0.1663826372,0.2687993893,0.9971480779,0,0,0,WALL
-0.3304927739,-0.3748704675,0.6613118653,0.7501110696,71.28013627,-0.2968703138,0.2689826954,0.9962839127,0,0,0,WALL
-0.3063023105,-0.3948825593,0.6129070537,0.7901550124,71.22018518,-0.4167724951,0.2650189986,0.9954901896,0,0,0,WALL
-0.2809030118,-0.41333623,0.5620833779,0.8270805743,71.16700159,-0.5231396811,0.2569584636,0.9947866273,0,0,0,WALL
-0.2543951173,-0.4301586514,0.5090414158,0.860742027,71.12185861,-0.6134256434,0.2449867657,0.9941900878,0,0,0,WALL
-0.2268832414,-0.4452834331,0.4539904997,0.8910065242,71.0855108,-0.6861212645,0.2294314195,0.9937104842,0,0,0,WALL
-0.1984759611,-0.4586508846,0.3971478906,0.9177546257,71.05833151,-0.7404798437,0.210741829,0.9933524643,0,0,0,WALL
-0.1692853868,-0.4702082505,0.3387379202,0.940880769,71.04022337,-0.7766961148,0.1895263649,0.9931143715,0,0,0,WALL
-0.1394267204,-0.4799099194,0.278991106,0.9602936857,71.03065435,-0.795834161,0.16653401,0.9929886884,0,0,0,WALL
-0.1090178004,-0.487717603,0.2181432414,0.9759167619,71.02863902,-0.7998648101,0.1425584317,0.9929617314,0,0,0,WALL
-0.07817863704,-0.493600488,0.156434465,0.9876883406,71.03312814,-0.7908865734,0.1184259028,0.9930191944,0,0,0,WALL
-0.04703093827,-0.4975353574,0.09410831332,0.9955619646,71.04281478,-0.7715133051,0.09496841504,0.9931434773,0,0,0,WALL
-0.01569762988,-0.4995066821,0.03141075908,0.9995065604,71.05635874,-0.7444253853,0.07292379915,0.9933166831,0,0,0,WALL
0.01569762988,-0.4995066821,-0.03141075908,0.9995065604,71.07238377,-0.7123753136,0.05288711575,0.9935207646,0,0,0,WALL
0.04703093827,-0.4975353574,-0.09410831332,0.9955619646,71.08969831,-0.6777462293,0.03531470864,0.9937406788,0,0,0,WALL
0.07817863704,-0.493600488,-0.156434465,0.9876883406,71.10708364,-0.6429755861,0.02046670238,0.9939616309,0,0,0,WALL
0.1090178004,-0.487717603,-0.2181432414,0.9759167619,71.12365522,-0.6098324074,0.008351297889,0.994174044,0,0,0,WALL
0.1394267204,-0.4799099194,-0.278991106,0.9602936857,71.13886811,-0.5794066329,-0.001170771826,0.9943736565,0,0,0,WALL
0.1692853868,-0.4702082505,-0.3387379202,0.940880769,71.15241206,-0.5523187318,-0.008323570293,0.9945594706,0,0,0,WALL
0.1984759611,-0.4586508846,-0.3971478906,0.9177546257,71.16414586,-0.5288511324,-0.01340118457,0.9947317747,0,0,0,WALL
0.2268832414,-0.4452834331,-0.4539904997,0.8910065242,71.17418638,-0.5087701063,-0.01668675178,0.9948924307,0,0,0,WALL
0.2543951173,-0.4301586514,-0.5090414158,0.860742027,71.18263103,-0.4918807995,-0.01842069285,0.9950408122,0,0,0,WALL
0.2809030118,-0.41333623,-0.5620833779,0.8270805743,71.18960782,-0.4779272229,-0.01882806586,0.9951751846,0,0,0,WALL
0.3063023105,-0.3948825593,-0.6129070537,0.7901550124,71.19506573,-0.467011394,-0.01819838639,0.9952909393,0,0,0,WALL
0.3304927739,-0.3748704675,-0.6613118653,0.7501110696,71.19910997,-0.4589229194,-0.0168788169,0.9953861411,0,0,0,WALL
0.3533789333,-0.3533789333,-0.7071067812,0.7071067812,71.20160175,-0.4539393659,-0.01535720736,0.9954565303,0,0,0,WALL
0.3748704675,-0.3304927739,-0.7501110696,0.6613118653,71.20313699,-0.4508688704,-0.01403301198,0.9955089728,0,0,0,WALL
0.3948825593,-0.3063023105,-0.7901550124,0.6129070537,71.20375707,-0.4496287104,-0.01316830854,0.9955435352,0,0,0,WALL
0.41333623,-0.2809030118,-0.8270805743,0.5620833779,71.20395684,-0.4492291767,-0.01300573958,0.9955672031,0,0,0,WALL
0.4301586514,-0.2543951173,-0.860742027,0.5090414158,71.20438241,-0.4483780443,-0.01341582776,0.9955892961,0,0,0,WALL
0.4452834331,-0.2268832414,-0.8910065242,0.4539904997,71.20498568,-0.4471714902,-0.01419831195,0.9956097615,0,0,0,WALL
0.4586508846,-0.1984759611,-0.9177546257,0.3971478906,71.20637744,-0.4443879692,-0.01501722356,0.9956376523,0,0,0,WALL
0.4702082505,-0.1692853868,-0.940880769,0.3387379202,71.2083228,-0.4404972554,-0.01537338127,0.995670269,0,0,0,WALL
0.4799099194,-0.1394267204,-0.9602936857,0.278991106,71.21036454,-0.4364137742,-0.01510329365,0.9957020089,0,0,0,WALL
0.487717603,-0.1090178004,-0.9759167619,0.2181432414,71.21248123,-0.4321803982,-0.01418648534,0.9957332695,0,0,0,WALL
0.493600488,-0.07817863704,-0.9876883406,0.156434465,71.21450691,-0.4281290389,-0.01260978462,0.9957623284,0,0,0,WALL
0.4975353574,-0.04703093827,-0.9955619646,0.09410831332,71.21654042,-0.4240620187,-0.01028457738,0.9957908821,0,0,0,WALL
0.4995066821,-0.01569762988,-0.9995065604,0.03141075908,71.21798811,-0.4211666298,-0.007234026842,0.9958110181,0,0,0,WALL
0.4995066821,0.01569762988,-0.9995065604,-0.03141075908,71.2186114,-0.4199200656,0.003781935307,0.9958196674,0,0,0,WALL
0.4975353574,0.04703093827,-0.9955619646,-0.09410831332,71.21848226,-0.4201783421,0.0002329101141,0.9958179145,0,0,0,WALL
0.493600488,0.07817863704,-0.9876883406,-0.156434465,71.21763966,-0.4218635415,-0.003198488562,0.9958062158,0,0,0,WALL
0.487717603,0.1090178004,-0.9759167619,-0.2181432414,71.21599329,-0.4251562677,-0.006206207071,0.995783058,0,0,0,WALL
0.4799099194,0.1394267204,-0.9602936857,-0.278991106,71.21425747,-0.4286279233,-0.008738783792,0.9957580425,0,0,0,WALL
0.4702082505,0.1692853868,-0.940880769,-0.3387379202,71.21211098,-0.4329208954,-0.01087579022,0.9957262533,0,0,0,WALL
0.4586508846,0.1984759611,-0.9177546257,-0.3971478906,71.20955306,-0.438036737,-0.01241189412,0.9956870112,0,0,0,WALL
0.4452834331,0.2268832414,-0.8910065242,-0.4539904997,71.20719183,-0.4427592058,-0.01336376765,0.9956480194,0,0,0,WALL
0.4301586514,0.2543951173,-0.860742027,-0.5090414158,71.20517156,-0.4467997383,-0.01404890537,0.9956105683,0,0,0,WALL
0.41333623,0.2809030118,-0.8270805743,-0.5620833779,71.20321846,-0.4507059287,-0.01467323867,0.9955700576,0,0,0,WALL
0.3948825593,0.3063023105,-0.7901550124,-0.6129070537,71.20127836,-0.4545861394,-0.01532450915,0.995524911,0,0,0,WALL
0.3748704675,0.3304927739,-0.7501110696,-0.6613118653,71.19913995,-0.458862966,-0.01605398199,0.9954716029,0,0,0,WALL
0.3533789333,0.3533789333,-0.7071067812,-0.7071067812,71.19662825,-0.4638863572,-0.0168354352,0.9954076083,0,0,0,WALL
0.3304927739,0.3748704675,-0.6613118653,-0.7501110696,71.19351108,-0.4701206986,-0.01760018244,0.9953304127,0,0,0,WALL
0.3063023105,0.3948825593,-0.6129070537,-0.7901550124,71.18940994,-0.4783229747,-0.0181510167,0.9952364432,0,0,0,WALL
0.2809030118,0.41333623,-0.5620833779,-0.8270805743,71.18412079,-0.4889012677,-0.01818795251,0.9951255802,0,0,0,WALL
0.2543951173,0.4301586514,-0.5090414158,-0.860742027,71.17743265,-0.5022775546,-0.01738296213,0.9949984784,0,0,0,WALL
0.2268832414,0.4452834331,-0.4539904997,-0.8910065242,71.16925521,-0.5186324356,-0.01541647941,0.9948577439,0,0,0,WALL
0.1984759611,0.4586508846,-0.3971478906,-0.9177546257,71.15943485,-0.5382731617,-0.01198792544,0.9947044073,0,0,0,WALL
0.1692853868,0.4702082505,-0.3387379202,-0.940880769,71.14790104,-0.5613407706,-0.006796444054,0.9945389109,0,0,0,WALL
0.1394267204,0.4799099194,-0.278991106,-0.9602936857,71.13459399,-0.5879548769,0.0004672439279,0.9943595993,0,0,0,WALL
0.1090178004,0.487717603,-0.2181432414,-0.9759167619,71.11968233,-0.6177782004,0.01009881368,0.9941661587,0,0,0,WALL
0.07817863704,0.493600488,-0.156434465,-0.9876883406,71.10350853,-0.6501258009,0.02231227376,0.9939598773,0,0,0,WALL
0.04703093827,0.4975353574,-0.09410831332,-0.9955619646,71.08662677,-0.6838893073,0.03723086016,0.993745229,0,0,0,WALL
0.01569762988,0.4995066821,-0.03141075908,-0.9995065604,71.06993761,-0.7172676439,0.05482627365,0.9935322358,0,0,0,WALL
-0.01569762988,0.4995066821,0.03141075908,-0.9995065604,71.0546325,-0.7478778596,0.07482523725,0.9933356112,0,0,0,WALL
-0.04703093827,0.4975353574,0.09410831332,-0.9955619646,71.04189012,-0.7733626128,0.09677277439,0.9931705105,0,0,0,WALL
-0.07817863704,0.493600488,0.156434465,-0.9876883406,71.03307301,-0.7909968317,0.1200748841,0.9930550143,0,0,0,WALL
-0.1090178004,0.487717603,0.2181432414,-0.9759167619,71.02949687,-0.7981491121,0.1439962439,0.9930068483,0,0,0,WALL
-0.1394267204,0.4799099194,0.278991106,-0.9602936857,71.03243822,-0.7922664082,0.1677130039,0.9930433146,0,0,0,WALL
-0.1692853868,0.4702082505,0.3387379202,-0.940880769,71.04291995,-0.7713029499,0.1904093535,0.9931784343,0,0,0,WALL
-0.1984759611,0.4586508846,0.3971478906,-0.9177546257,71.06189393,-0.7333549898,0.2113027839,0.9934254794,0,0,0,WALL
-0.2268832414,0.4452834331,0.4539904997,-0.8910065242,71.08986058,-0.6774216942,0.2296578835,0.9937915646,0,0,0,WALL
