step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,3.790684205e-08,1,0,0
2,3,5.263463556e-08,1,3.401799994e-06,1.323790555
3,3,6.845174232e-08,1,3.402652083e-06,1.325824209
4,3,8.518333167e-08,1,3.403530259e-06,1.327860987
5,3,1.027007385e-07,1,3.40444433e-06,1.329900895
6,3,1.208825277e-07,1,3.405402184e-06,1.331943936
7,3,1.396073015e-07,1,3.406409918e-06,1.333990115
8,3,1.587546219e-07,1,3.407471895e-06,1.336039438
9,3,1.782084007e-07,1,3.408590896e-06,1.338091909
10,3,1.978607931e-07,1,3.409768337e-06,1.340147534
11,3,2.176155703e-07,1,3.411004512e-06,1.342206316
12,3,2.373904861e-07,1,3.412298848e-06,1.344268261
13,3,2.57118501e-07,1,3.413650135e-06,1.346333374
14,3,2.767479501e-07,1,3.415056725e-06,1.348401659
15,3,2.962418514e-07,1,3.4165167e-06,1.350473121
16,3,3.155765861e-07,1,3.418028006e-06,1.352547766
17,3,3.347401725e-07,1,3.419588554e-06,1.354625598
18,3,3.537307054e-07,1,3.421196285e-06,1.356706622
19,3,3.725543107e-07,1,3.422849229e-06,1.358790843
20,3,3.912244343e-07,1,3.424545527e-06,1.360878266
21,3,4.09759994e-07,1,3.426283456e-06,1.362968895
22,3,4.281815094e-07,1,3.428061433e-06,1.365062737
23,3,4.465114921e-07,1,3.429878015e-06,1.367159795
24,3,4.647744857e-07,1,3.431731896e-06,1.369260074
25,3,4.82998273e-07,1,3.4336219e-06,1.37136358
26,3,5.012041976e-07,1,3.435545385e-06,1.373470317
27,3,5.194176032e-07,1,3.437500106e-06,1.375580291
28,3,5.376654043e-07,1,3.439488225e-06,1.377693507
29,3,5.559737774e-07,1,3.441508979e-06,1.379809968
30,3,5.743613877e-07,1,3.443561685e-06,1.381929681
31,3,5.928503372e-07,1,3.445645736e-06,1.384052651
32,3,6.114616561e-07,1,3.447760525e-06,1.386178882
33,3,6.30215296e-07,1,3.449905536e-06,1.388308379
34,3,6.49130078e-07,1,3.452080438e-06,1.390441148
35,3,6.682237991e-07,1,3.45428484e-06,1.392577193
36,3,6.875133755e-07,1,3.45651839e-06,1.394716519
37,3,7.0701778e-07,1,3.458780771e-06,1.396859132
38,3,7.267498004e-07,1,3.461071695e-06,1.399005037
39,3,7.467222021e-07,1,3.463390904e-06,1.401154238
40,3,7.669484021e-07,1,3.465738162e-06,1.403306741
41,3,7.874426112e-07,1,3.468113253e-06,1.405462551
