step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,1.330543601e-10,156.9524196,-8.13713541e-11,0,156.9524196,0,1.330562327e-10
1,0,-1.126875875e-11,146.8008776,-5.850608886e-11,0.5153250624,146.2855525,1.950641038e-12,-1.32196476e-11
2,0,-1.814543069e-10,137.6166187,-5.413625104e-11,1.021122635,136.595496,3.256131476e-12,-1.847091369e-10
3,0,-3.734984031e-10,129.2991796,-6.664890861e-11,1.516845457,127.7823341,3.600064691e-12,-3.770979085e-10
4,0,-5.84528792e-10,121.7591562,-9.382006283e-11,2.00212046,119.7570358,2.6295216e-12,-5.87158322e-10
5,0,-8.124077491e-10,114.9169212,-1.332409738e-10,2.476736796,112.4401844,-8.021361353e-15,-8.124008133e-10
6,0,-1.055410688e-09,108.7015684,-1.823394769e-10,2.940668511,105.7608999,-4.510045115e-12,-1.050899368e-09
7,0,-1.312140908e-09,103.0499605,-2.387636755e-10,3.394070374,99.65589012,-1.101856106e-11,-1.301121877e-09
8,0,-1.581379714e-09,97.90585469,-3.00190095e-10,3.837246732,94.06860796,-1.955165196e-11,-1.561826224e-09
9,0,-1.86198754e-09,93.21911047,-3.646434266e-10,4.270609108,88.94850136,-3.004853311e-11,-1.831938601e-09
10,0,-2.152973618e-09,88.94498343,-4.303011281e-10,4.694635257,84.25034817,-4.239435192e-11,-2.110578823e-09
11,0,-2.453412247e-09,85.04349994,-4.956355326e-10,5.109833679,79.93366626,-5.647723955e-11,-2.396933763e-09
12,0,-2.7623644e-09,81.47890821,-5.59346347e-10,5.516717404,75.96219081,-7.20933313e-11,-2.690268674e-09
13,0,-3.07905039e-09,78.21919625,-6.203002556e-10,5.9157851,72.30341115,-8.913214611e-11,-2.989917425e-09
14,0,-3.402663869e-09,75.2356695,-6.77633949e-10,6.307509277,68.92816022,-1.074115519e-10,-3.295250739e-09
15,0,-3.732504689e-09,72.50258017,-7.306084626e-10,6.692329519,65.81025065,-1.268031236e-10,-3.605701737e-09
16,0,-4.067882749e-09,69.99680143,-7.786091771e-10,7.070649434,62.92615199,-1.471724131e-10,-3.920709091e-09
17,0,-4.408170505e-09,67.69754058,-8.212062141e-10,7.442836231,60.25470435,-1.683956308e-10,-4.239775198e-09
18,0,-4.752768311e-09,65.58608596,-8.579945643e-10,7.809221708,57.77686426,-1.903652513e-10,-4.5624029e-09
19,0,-5.10114589e-09,63.64558354,-8.887361957e-10,8.170104427,55.47547912,-2.12996315e-10,-4.888149885e-09
20,0,-5.452780266e-09,61.86084126,-9.132250511e-10,8.52575164,53.33508962,-2.361970203e-10,-5.216582499e-09
21,0,-5.807219511e-09,60.21815053,-9.313332328e-10,8.876401573,51.34174896,-2.598791876e-10,-5.547340143e-09
22,0,-6.164020352e-09,58.70512881,-9.429648173e-10,9.222268161,49.48286065,-2.839842111e-10,-5.880036014e-09
23,0,-6.522660394e-09,57.31058274,-9.48125134e-10,9.56354395,47.74703879,-3.084289768e-10,-6.214232462e-09
24,0,-6.882892625e-09,56.02438614,-9.467626683e-10,9.900402216,46.12398392,-3.331591045e-10,-6.549733311e-09
25,0,-7.244365027e-09,54.83737013,-9.388632094e-10,10.23299727,44.60437286,-3.581050109e-10,-6.88626034e-09
26,0,-7.606767318e-09,53.7412255,-9.244711663e-10,10.56147122,43.17975428,-3.832080209e-10,-7.223558862e-09
27,0,-7.969819092e-09,52.72841604,-9.036522641e-10,10.88595251,41.84246353,-4.084244679e-10,-7.561393844e-09
28,0,-8.33322556e-09,51.79210053,-8.764509118e-10,11.20655654,40.58554399,-4.336621132e-10,-7.899564336e-09
29,0,-8.696798969e-09,50.92606313,-8.429399401e-10,11.5233869,39.40267623,-4.589092717e-10,-8.237889482e-09
30,0,-9.060308212e-09,50.12465145,-8.032028376e-10,11.83654063,38.28811082,-4.84105863e-10,-8.576202193e-09
31,0,-9.423564046e-09,49.38272057,-7.573230931e-10,12.14610611,37.23661446,-5.09201372e-10,-8.914362026e-09
32,0,-9.786373228e-09,48.69558301,-7.053646556e-10,12.45216376,36.24341926,-5.341178298e-10,-9.252254185e-09
33,0,-1.014861981e-08,48.05896693,-6.474270009e-10,12.75478967,35.30417726,-5.588457162e-10,-9.589773642e-09
34,0,-1.051014961e-08,47.46897279,-5.835829597e-10,13.05405302,34.41491977,-5.833142476e-10,-9.92683491e-09
35,0,-1.087084178e-08,46.92203869,-5.139106918e-10,13.35001787,33.57202083,-6.074705738e-10,-1.02633696e-08
36,0,-1.123060344e-08,46.41490819,-4.384972385e-10,13.64274371,32.77216448,-6.312771417e-10,-1.059932575e-08
37,0,-1.158935529e-08,45.94460046,-3.574083252e-10,13.93228509,32.01231537,-6.546946943e-10,-1.093466107e-08
38,0,-1.194700961e-08,45.50838693,-2.707079005e-10,14.21869322,31.28969371,-6.776584363e-10,-1.126935056e-08
39,0,-1.230349615e-08,45.10376578,-1.784581372e-10,14.5020171,30.60174868,-7.001368443e-10,-1.160335927e-08
40,0,-1.265879281e-08,44.72844235,-8.073364199e-11,14.78230363,29.94613872,-7.220740186e-10,-1.193671895e-08
41,0,-1.301282888e-08,44.38030866,2.239985974e-11,15.05959634,29.32071232,-7.43400827e-10,-1.226942825e-08
42,0,-1.336561648e-08,44.057427,1.309086173e-10,15.33393629,28.72349071,-7.64114591e-10,-1.260149984e-08
43,0,-1.371689978e-08,43.75801617,2.447073655e-10,15.60536389,28.15265228,-7.839616664e-10,-1.293293761e-08
44,0,-1.406686033e-08,43.48043526,3.637659063e-10,15.87391676,27.6065185,-8.031567564e-10,-1.326370352e-08
