step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,1.001536236,0,0.07987415656,0.3730870159,0.1589964465,0.2000872818,0.22961304,2491.401066
1,0,3,1.001536236,1.323790555,0.08002688506,0.3386399206,0.142729258,0.1974556623,0.2123921361,2253.360212
2,0,3,1.003074831,1.325824209,0.08006170568,0.3080685076,0.1282199334,0.194973627,0.1973392692,2040.407054
3,0,3,1.00461579,1.327860987,0.07997610212,0.2809233215,0.1152451462,0.1925499865,0.1841677432,1849.738374
4,0,3,1.006159117,1.329900895,0.07977118949,0.2568094126,0.1036132717,0.1901293749,0.1726263351,1678.878508
5,0,3,1.007704814,1.331943936,0.07945584958,0.2353739777,0.09316631492,0.1876922629,0.1624980686,1525.639802
6,0,3,1.009252886,1.333990115,0.0790440513,0.2163026428,0.08377249275,0.1852410457,0.1535959561,1388.087241
7,0,3,1.010803336,1.336039438,0.07855134877,0.199317102,0.07531899306,0.1827873778,0.1457581883,1264.507768
8,0,3,1.012356168,1.338091909,0.07799267226,0.1841721502,0.06770720758,0.180344817,0.1388441184,1153.383733
9,0,3,1.013911386,1.340147534,0.07738131785,0.1706522874,0.06084985774,0.1779254917,0.1327311732,1068.373555
10,0,3,1.015468992,1.342206316,0.0767286625,0.1585682973,0.05466921254,0.1755390205,0.127312473,1052.60325
11,0,3,1.017028992,1.344268261,0.07604421396,0.1477540401,0.04909587971,0.1731924245,0.122494898,1037.362508
12,0,3,1.018591388,1.346333374,0.07533581205,0.1380635634,0.04406789602,0.1708904668,0.1181974653,1022.602501
13,0,3,1.020156184,1.348401659,0.07460986533,0.129368549,0.03952998653,0.1686360866,0.1143499049,1008.28214
14,0,3,1.021723385,1.350473121,0.07387158353,0.1215560814,0.03543292661,0.1664308194,0.1108913902,994.3662817
15,0,3,1.023292992,1.352547766,0.07312518706,0.1145267066,0.03173298088,0.1642751603,0.1077693949,980.8244632
16,0,3,1.024865011,1.354625598,0.07237409723,0.1081927472,0.02839140729,0.1621688812,0.1049386708,967.6299801
17,0,3,1.026439445,1.356706622,0.07162104326,0.1024768493,0.02537400181,0.1601111519,0.1023602699,954.7592021
18,0,3,1.028016298,1.358790843,0.07086822273,0.09731070568,0.02265073079,0.1581008024,0.1000007472,942.1910435
19,0,3,1.029595573,1.360878266,0.07011728621,0.0926340088,0.02019514991,0.1561361818,0.09783128942,929.9065658
20,0,3,1.031177275,1.362968895,0.06936944013,0.0883935814,0.01798418566,0.1542153121,0.09582710719,917.888662
21,0,3,1.032761406,1.365062737,0.0686258711,0.08454219633,0.01599879684,0.1523367769,0.09396721267,906.1218068
22,0,3,1.034347971,1.367159795,0.0678875635,0.081037965,0.01422329365,0.1504991946,0.09223364719,894.5918542
23,0,3,1.035936973,1.369260074,0.06715525449,0.07784381306,0.01264494325,0.1487010484,0.09061095938,883.2858719
24,0,3,1.037528416,1.37136358,0.06642922602,0.0749271569,0.01125331711,0.1469401715,0.08908559374,872.192002
25,0,3,1.039122304,1.373470317,0.06571034032,0.07225850824,0.01004240927,0.1452160738,0.08764658994,861.2993478
26,0,3,1.04071864,1.375580291,0.06499887596,0.06981209757,0.009007452983,0.1435271822,0.0862840789,850.5978721
27,0,3,1.042317429,1.377693507,0.06429486853,0.06756520157,0.008145052157,0.1418716347,0.08498939519,840.0783116
28,0,3,1.043918674,1.379809968,0.06359824628,0.06549767387,0.007452312786,0.1402475682,0.08375499922,829.732102
29,0,3,1.045522379,1.381929681,0.06290949417,0.06359110527,0.006925861898,0.1386545955,0.08257496222,819.5513124
30,0,3,1.047128548,1.384052651,0.06222863235,0.0618294648,0.006557842628,0.1370913998,0.08144375758,809.5285875
31,0,3,1.048737184,1.386178882,0.06155564633,0.06019848767,0.006335262058,0.1355567401,0.08035658164,799.6570959
32,0,3,1.050348291,1.388308379,0.06089049355,0.0586854691,0.006239927042,0.134049446,0.0793092478,789.9304852
33,0,3,1.051961874,1.390441148,0.06023311361,0.05727908698,0.00625007858,0.1325684234,0.07829810364,780.3428403
34,0,3,1.053577935,1.392577193,0.05958342681,0.05596923739,0.006342959077,0.1311126365,0.07731994707,770.8886474
35,0,3,1.055196479,1.394716519,0.05894133391,0.05474690141,0.006497246359,0.129681095,0.07637195932,761.5627612
36,0,3,1.056817509,1.396859132,0.05830659131,0.05360414377,0.006694729024,0.1282725614,0.07545152784,752.360375
37,0,3,1.05844103,1.399005037,0.05767913702,0.05253366728,0.006920536188,0.1268862908,0.07455651156,743.2769939
38,0,3,1.060067045,1.401154238,0.05705899721,0.05152888418,0.007163120836,0.1255217914,0.07368511633,734.3084109
39,0,3,1.061695557,1.403306741,0.05644615933,0.05058388994,0.007413880216,0.1241785063,0.07283571561,725.450685
40,0,3,1.063326572,1.405462551,0.05584043609,0.04969352718,0.007666545993,0.1228555407,0.07200670238,716.7001212
41,0,3,1.064960092,1.407621672,0.05524169966,0.04885310566,0.007916651408,0.1215521851,0.07119669654,708.0532524
42,0,3,1.066596121,1.409784111,0.0546499642,0.04805830605,0.008161080302,0.1202681256,0.07040462457,699.590256
43,0,3,1.068234664,1.411949871,0.05406506916,0.04730534926,0.00839771836,0.1190026311,0.06962933227,691.2278782
44,0,3,1.069875724,1.414118959,0.05348685375,0.04659082376,0.008625173924,0.1177550067,0.06886977495,682.9501456
45,0,3,1.071519305,1.416291379,0.05291513868,0.0459116597,0.00884259795,0.1165245522,0.06812498662,674.7560055
46,0,3,1.073165411,1.418467136,0.05234976009,0.04526507272,0.009049527258,0.1153106444,0.06739410741,666.6441777
47,0,3,1.074814046,1.420646235,0.05179066761,0.04464845104,0.009245746062,0.1141129429,0.06667646695,658.6132404
48,0,3,1.076465214,1.422828683,0.05123762238,0.04405956943,0.009431302154,0.1129306916,0.06597126302,650.6616939
49,0,3,1.078118918,1.425014483,0.05069061429,0.04349623385,0.009606281802,0.1117636804,0.06527798565,642.7880069
50,0,3,1.079775162,1.42720364,0.05014945498,0.04295658408,0.009770970641,0.110611309,0.06459599348,634.9906473
51,0,3,1.081433951,1.429396161,0.04961401576,0.04243887959,0.009925663432,0.1094731201,0.06392474458,627.2681044
52,0,3,1.083095289,1.431592051,0.04908429689,0.04194144507,0.01007065475,0.108348984,0.06326387878,619.6189032
53,0,3,1.084759178,1.433791313,0.0485600294,0.04146293845,0.01020640433,0.1072381342,0.06261277791,612.0416144
54,0,3,1.086425624,1.435993954,0.04804127907,0.04100190408,0.0103331763,0.1061406163,0.06197121426,604.5348597
55,0,3,1.088094629,1.438199979,0.04752783793,0.0405571949,0.01045144091,0.1050558282,0.0613386931,597.0973149
56,0,3,1.089766199,1.440409393,0.04701960736,0.04012768947,0.01056157538,0.1039834451,0.06071486364,589.7277115
57,0,3,1.091440336,1.442622201,0.04651660687,0.03971228049,0.01066386066,0.1029234232,0.06009951934,582.4248376
58,0,3,1.093117046,1.444838409,0.04601860952,0.03931011171,0.01075878742,0.1018751377,0.05949221063,575.1875367
59,0,3,1.094796331,1.447058021,0.04552562322,0.03892024874,0.01084661117,0.1008385381,0.05889275821,568.0147068
60,0,3,1.096478196,1.449281043,0.04503755466,0.03854189273,0.01092768568,0.099813327,0.05830088633,560.9052984
61,0,3,1.098162645,1.45150748,0.04455426095,0.03817434095,0.01100240516,0.09879910246,0.05771628462,553.8583131
62,0,3,1.099849681,1.453737337,0.044075756,0.03781685672,0.01107099669,0.09779583993,0.05713882261,546.8728008
63,0,3,1.10153931,1.45597062,0.04360188207,0.0374688572,0.01113387954,0.09680310451,0.05656819711,539.9478584
64,0,3,1.103231533,1.458207334,0.04313259757,0.03712973075,0.01119124968,0.09582074941,0.05600423637,533.082627
