x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-0.4995066821,-0.01569762988,0.9995065604,0.03141075908,72.06274112,1.268339374,0.0423001584,1.006631796,0,0,0,WALL
-0.4975353574,-0.04703093827,0.9955619646,0.09410831332,72.05343206,1.249721256,0.1265447948,1.006509318,0,0,0,WALL
-0.493600488,-0.07817863704,0.9876883406,0.156434465,72.03498078,1.212818696,0.2092892158,1.006266546,0,0,0,WALL
-0.487717603,-0.1090178004,0.9759167619,0.2181432414,72.0077356,1.158328352,0.2895541352,1.005908043,0,0,0,WALL
-0.4799099194,-0.1394267204,0.9602936857,0.278991106,71.97220637,1.087269879,0.366397072,1.005440488,0,0,0,WALL
-0.4702082505,-0.1692853868,0.940880769,0.3387379202,71.92905406,1.00096526,0.4389218196,1.004872541,0,0,0,WALL
-0.4586508846,-0.1984759611,0.9177546257,0.3971478906,71.87907484,0.9010068206,0.5062923257,1.004214632,0,0,0,WALL
-0.4452834331,-0.2268832414,0.8910065242,0.4539904997,71.82317716,0.7892114664,0.5677407365,1.003478663,0,0,0,WALL
-0.4301586514,-0.2543951173,0.860742027,0.5090414158,71.76237094,0.6675990214,0.6225787417,1.002677864,0,0,0,WALL
-0.41333623,-0.2809030118,0.8270805743,0.5620833779,71.69774313,0.5383434066,0.6702132981,1.001826479,0,0,0,WALL
-0.3948825593,-0.3063023105,0.7901550124,0.6129070537,71.63043418,0.4037254958,0.7101584676,1.000939457,0,0,0,WALL
-0.3748704675,-0.3304927739,0.7501110696,0.6613118653,71.56161128,0.2660797039,0.7420469595,1.00003211,0,0,0,WALL
-0.3533789333,-0.3533789333,0.7071067812,0.7071067812,71.49244086,0.1277388708,0.7656373791,0.9991197452,0,0,0,WALL
-0.3304927739,-0.3748704675,0.6613118653,0.7501110696,71.42405971,-0.00902343253,0.7808248322,0.9982172929,0,0,0,WALL
-0.3063023105,-0.3948825593,0.6129070537,0.7901550124,71.35754741,-0.142048036,0.7876429201,0.9973389434,0,0,0,WALL
-0.2809030118,-0.41333623,0.5620833779,0.8270805743,71.29389842,-0.2693460181,0.7862655282,0.996497783,0,0,0,WALL
-0.2543951173,-0.4301586514,0.5090414158,0.860742027,71.23399802,-0.3891468169,0.7770041916,0.99570548,0,0,0,WALL
-0.2268832414,-0.4452834331,0.4539904997,0.8910065242,71.17860324,-0.499936371,0.7603031265,0.994972039,0,0,0,WALL
-0.1984759611,-0.4586508846,0.3971478906,0.9177546257,71.12832589,-0.6004910722,0.7367303003,0.9943055804,0,0,0,WALL
-0.1692853868,-0.4702082505,0.3387379202,0.940880769,71.08362347,-0.6898959211,0.7069626753,0.9937122269,0,0,0,WALL
-0.1394267204,-0.4799099194,0.278991106,0.9602936857,71.04479895,-0.7675449546,0.671780097,0.993196108,0,0,0,WALL
-0.1090178004,-0.487717603,0.2181432414,0.9759167619,71.0119767,-0.8331894532,0.632025225,0.9927590259,0,0,0,WALL
-0.07817863704,-0.493600488,0.156434465,0.9876883406,70.98515582,-0.8868312267,0.5885830968,0.9924011963,0,0,0,WALL
-0.04703093827,-0.4975353574,0.09410831332,0.9955619646,70.96419458,-0.9287537025,0.5423782688,0.9921210206,0,0,0,WALL
-0.01569762988,-0.4995066821,0.03141075908,0.9995065604,70.9488266,-0.9594896574,0.4943373405,0.9919152921,0,0,0,WALL
0.01569762988,-0.4995066821,-0.03141075908,0.9995065604,70.93868111,-0.979780633,0.445364513,0.9917794535,0,0,0,WALL
0.04703093827,-0.4975353574,-0.09410831332,0.9955619646,70.93330366,-0.9905355437,0.3963182525,0.9917078533,0,0,0,WALL
0.07817863704,-0.493600488,-0.156434465,0.9876883406,70.93217845,-0.9927859487,0.3479883007,0.9916940215,0,0,0,WALL
0.1090178004,-0.487717603,-0.2181432414,0.9759167619,70.93475187,-0.9876391243,0.3010761292,0.9917309579,0,0,0,WALL
0.1394267204,-0.4799099194,-0.278991106,0.9602936857,70.94045584,-0.9762311815,0.2561805586,0.9918114216,0,0,0,WALL
0.1692853868,-0.4702082505,-0.3387379202,0.940880769,70.94873054,-0.9596817745,0.2137905814,0.9919282111,0,0,0,WALL
0.1984759611,-0.4586508846,-0.3971478906,0.9177546257,70.95904348,-0.9390559032,0.174285569,0.9920743998,0,0,0,WALL
0.2268832414,-0.4452834331,-0.4539904997,0.8910065242,70.97090366,-0.9153355382,0.1379407223,0.9922435114,0,0,0,WALL
0.2543951173,-0.4301586514,-0.5090414158,0.860742027,70.98387088,-0.8894010873,0.1049359071,0.9924296338,0,0,0,WALL
0.2809030118,-0.41333623,-0.5620833779,0.8270805743,70.99756047,-0.8620219267,0.07536464998,0.9926274823,0,0,0,WALL
0.3063023105,-0.3948825593,-0.6129070537,0.7901550124,71.01165173,-0.8338393978,0.04925099976,0.9928325255,0,0,0,WALL
0.3304927739,-0.3748704675,-0.6613118653,0.7501110696,71.02588144,-0.8053799815,0.0265700788,0.9930409099,0,0,0,WALL
0.3533789333,-0.3533789333,-0.7071067812,0.7071067812,71.04003702,-0.7770688241,0.007263846347,0.9932493912,0,0,0,WALL
0.3748704675,-0.3304927739,-0.7501110696,0.6613118653,71.05394626,-0.7492503276,-0.008744478981,0.9934552198,0,0,0,WALL
0.3948825593,-0.3063023105,-0.7901550124,0.6129070537,71.06746456,-0.7222137463,-0.02154135395,0.9936559938,0,0,0,WALL
0.41333623,-0.2809030118,-0.8270805743,0.5620833779,71.08046263,-0.696217596,-0.03121929503,0.9938495199,0,0,0,WALL
0.4301586514,-0.2543951173,-0.860742027,0.5090414158,71.09281466,-0.6715135411,-0.03787899585,0.9940336723,0,0,0,WALL
0.4452834331,-0.2268832414,-0.8910065242,0.4539904997,71.10439118,-0.6483604957,-0.04163327956,0.9942063154,0,0,0,WALL
0.4586508846,-0.1984759611,-0.9177546257,0.3971478906,71.11504755,-0.6270477629,-0.04261554979,0.9943651548,0,0,0,WALL
0.4702082505,-0.1692853868,-0.940880769,0.3387379202,71.1246133,-0.6079162533,-0.041011075,0.9945075952,0,0,0,WALL
0.4799099194,-0.1394267204,-0.9602936857,0.278991106,71.13291923,-0.5913044005,-0.03707860723,0.9946311171,0,0,0,WALL
0.487717603,-0.1090178004,-0.9759167619,0.2181432414,71.13981873,-0.5775054048,-0.03112874091,0.9947335691,0,0,0,WALL
0.493600488,-0.07817863704,-0.9876883406,0.156434465,71.14517711,-0.5667886272,-0.02349725392,0.9948130075,0,0,0,WALL
0.4975353574,-0.04703093827,-0.9955619646,0.09410831332,71.14883978,-0.5594632923,-0.01458913948,0.99486724,0,0,0,WALL
0.4995066821,-0.01569762988,-0.9995065604,0.03141075908,71.15071033,-0.5557221921,-0.004876958966,0.9948949054,0,0,0,WALL
0.4995066821,0.01569762988,-0.9995065604,-0.03141075908,71.15071185,-0.5557191513,-0.005119810538,0.9948949253,0,0,0,WALL
0.4975353574,0.04703093827,-0.9955619646,-0.09410831332,71.14884237,-0.5594581084,-0.01484453515,0.9948672721,0,0,0,WALL
0.493600488,0.07817863704,-0.9876883406,-0.156434465,71.14516852,-0.5668058253,-0.02376897987,0.9948128787,0,0,0,WALL
0.487717603,0.1090178004,-0.9759167619,-0.2181432414,71.13979532,-0.5775522123,-0.03141707421,0.9947332057,0,0,0,WALL
0.4799099194,0.1394267204,-0.9602936857,-0.278991106,71.13286363,-0.5914155969,-0.03737258465,0.9946302647,0,0,0,WALL
0.4702082505,0.1692853868,-0.940880769,-0.3387379202,71.12453056,-0.6080817308,-0.04129155319,0.9945063218,0,0,0,WALL
0.4586508846,0.1984759611,-0.9177546257,-0.3971478906,71.11494451,-0.6272538293,-0.04287796463,0.9943635461,0,0,0,WALL
0.4452834331,0.2268832414,-0.8910065242,-0.4539904997,71.1042721,-0.6485986547,-0.04187948545,0.9942044417,0,0,0,WALL
0.4301586514,0.2543951173,-0.860742027,-0.5090414158,71.0926808,-0.6717812642,-0.03811059901,0.9940315451,0,0,0,WALL
0.41333623,0.2809030118,-0.8270805743,-0.5620833779,71.08031583,-0.6965111898,-0.03143588971,0.993847171,0,0,0,WALL
0.3948825593,0.3063023105,-0.7901550124,-0.6129070537,71.06730676,-0.722529343,-0.02174221938,0.9936534586,0,0,0,WALL
0.3748704675,0.3304927739,-0.7501110696,-0.6613118653,71.05377954,-0.7495837808,-0.008929110548,0.9934525369,0,0,0,WALL
0.3533789333,0.3533789333,-0.7071067812,-0.7071067812,71.03986309,-0.7774166786,0.007095270958,0.9932465951,0,0,0,WALL
0.3304927739,0.3748704675,-0.6613118653,-0.7501110696,71.02570155,-0.8057397659,0.0264167267,0.9930380283,0,0,0,WALL
0.3063023105,0.3948825593,-0.6129070537,-0.7901550124,71.01146645,-0.8342099558,0.04911156285,0.9928295761,0,0,0,WALL
0.2809030118,0.41333623,-0.5620833779,-0.8270805743,70.99736973,-0.8624033872,0.07523768927,0.992624473,0,0,0,WALL
0.2543951173,0.4301586514,-0.5090414158,-0.860742027,70.98367412,-0.8897946187,0.104820124,0.9924265634,0,0,0,WALL
0.2268832414,0.4452834331,-0.4539904997,-0.8910065242,70.97069985,-0.915743153,0.1378351638,0.9922403715,0,0,0,WALL
0.1984759611,0.4586508846,-0.3971478906,-0.9177546257,70.95883135,-0.9394801627,0.1741897784,0.9920711767,0,0,0,WALL
