step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,4.881602e-07,1,0,0
2,3,5.627627493e-07,1,3.397744146e-07,0.1591928323
3,3,6.953207347e-07,1,3.461258656e-07,0.1595598097
4,3,7.959780591e-07,1,3.519459199e-07,0.159927633
5,3,8.687188768e-07,1,3.561067877e-07,0.1602963043
6,3,9.213612151e-07,1,3.586868835e-07,0.1606658255
7,3,9.506903792e-07,1,3.613301197e-07,0.1610361984
8,3,9.657395094e-07,1,3.638808218e-07,0.1614074252
9,3,9.825045117e-07,1,3.662280631e-07,0.1617795078
10,3,1.000538624e-06,1,3.682974442e-07,0.162152448
11,3,1.035839531e-06,1,3.697497053e-07,0.162526248
12,3,1.089967249e-06,1,3.700661775e-07,0.1629009097
13,3,1.161127276e-06,1,3.707130662e-07,0.1632764351
14,3,1.245789571e-06,1,3.716762724e-07,0.1636528262
15,3,1.329524862e-06,1,3.728184481e-07,0.1640300849
16,3,1.42076303e-06,1,3.740918051e-07,0.1644082133
17,3,1.523340883e-06,1,3.75331113e-07,0.1647872134
18,3,1.645022821e-06,1,3.764867524e-07,0.1651670871
19,3,1.79034292e-06,1,3.772239867e-07,0.1655478366
20,3,1.956496661e-06,1,3.779736017e-07,0.1659294638
21,3,2.146729919e-06,1,3.788175611e-07,0.1663119707
22,3,2.359434708e-06,1,3.797295446e-07,0.1666953594
23,3,2.6029577e-06,1,3.806749806e-07,0.1670796318
24,3,2.879428627e-06,1,3.816287365e-07,0.1674647902
25,3,3.197946322e-06,1,3.824880196e-07,0.1678508364
26,3,3.560667589e-06,1,3.833510833e-07,0.1682377725
27,3,3.975850906e-06,1,3.842404015e-07,0.1686256006
28,3,4.449571831e-06,1,3.851484857e-07,0.1690143228
29,3,4.992959783e-06,1,3.860632926e-07,0.1694039411
30,3,5.62230248e-06,1,3.869775058e-07,0.1697944575
31,3,6.353323875e-06,1,3.878873469e-07,0.1701858741
32,3,7.217804984e-06,1,3.8879177e-07,0.1705781931
33,3,8.244052412e-06,1,3.896924484e-07,0.1709714164
34,3,9.486293083e-06,1,3.905918959e-07,0.1713655462
35,3,1.100035463e-05,1,3.914912692e-07,0.1717605846
36,3,1.28590519e-05,1,3.923927981e-07,0.1721565337
37,3,1.515618201e-05,1,3.932976548e-07,0.1725533955
38,3,1.796800973e-05,1,3.942063864e-07,0.1729511721
39,3,2.140537615e-05,1,3.951190379e-07,0.1733498657
40,3,2.55416188e-05,1,3.960353357e-07,0.1737494785
41,3,3.043928732e-05,1,3.969548704e-07,0.1741500124
42,3,3.617293858e-05,1,3.978772408e-07,0.1745514696
43,3,4.26971159e-05,1,3.988021431e-07,0.1749538523
44,3,4.998785872e-05,1,3.997294082e-07,0.1753571626
45,3,5.79738901e-05,1,4.00658999e-07,0.1757614026
46,3,6.637864764e-05,1,4.015909829e-07,0.1761665745
47,3,7.498838574e-05,1,4.025254929e-07,0.1765726804
48,3,8.355882043e-05,1,4.034626874e-07,0.1769797224
49,3,9.152131715e-05,1,4.044027175e-07,0.1773877028
50,3,9.848898237e-05,1,4.053457046e-07,0.1777966237
51,3,0.0001042256009,1,4.062917316e-07,0.1782064873
52,3,0.0001084281589,1,4.07240845e-07,0.1786172956
53,3,0.0001110712333,1,4.081930653e-07,0.179029051
54,3,0.0001121622762,1,4.091484025e-07,0.1794417556
55,3,0.0001121204215,1,4.101068708e-07,0.1798554116
56,3,0.0001114835597,1,4.110685003e-07,0.1802700211
57,3,0.0001106203934,1,4.120333434e-07,0.1806855865
58,3,0.0001098373236,1,4.130014747e-07,0.1811021097
59,3,0.0001092702301,1,4.139729866e-07,0.1815195932
60,3,0.0001089508186,1,4.149479806e-07,0.1819380391
61,3,0.000108767039,1,4.159265591e-07,0.1823574496
62,3,0.0001087043231,1,4.169088171e-07,0.1827778269
63,3,0.0001087240888,1,4.178948385e-07,0.1831991733
64,3,0.0001088111607,1,4.18884695e-07,0.1836214911
65,3,0.0001089319882,1,4.198784501e-07,0.1840447823
66,3,0.0001091353517,1,4.207487407e-07,0.1844690493
67,3,0.0001094257014,1,4.215366644e-07,0.1848942944
68,3,0.0001098097579,1,4.223147729e-07,0.1853205198
69,3,0.0001102474417,1,4.230864777e-07,0.1857477277
70,3,0.0001107057065,1,4.238545891e-07,0.1861759204
71,3,0.0001111263737,1,4.246212023e-07,0.1866051003
72,3,0.0001114660707,1,4.253880406e-07,0.1870352694
73,3,0.0001116723031,1,4.261565296e-07,0.1874664303
74,3,0.0001117643853,1,4.269283478e-07,0.187898585
75,3,0.0001117830269,1,4.277053736e-07,0.188331736
76,3,0.0001117561954,1,4.284903348e-07,0.1887658855
77,3,0.0001116750459,1,4.292853768e-07,0.1892010358
78,3,0.0001115809025,1,4.300911753e-07,0.1896371892
