step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,1.002305238,0,0.8094065584,0.4944902895,0.6484635643,2.032622254,1.1674457,501879.9516
1,0,3,1.002305238,0.1591928323,0.6467864235,0.2672259999,0.3857117689,1.632969842,0.9089975917,404330.738
2,0,3,1.00461579,0.1595598097,0.5221437952,0.2287130498,0.3224644061,1.321816636,0.7375849638,313740.5354
3,0,3,1.006931669,0.159927633,0.4320760345,0.2241735926,0.3043406234,1.093991524,0.6177346049,231923.2706
4,0,3,1.009252886,0.1602963043,0.3676943877,0.2213059682,0.2898489365,0.9300948466,0.5322744414,161700.8411
5,0,3,1.011579454,0.1606658255,0.3233444257,0.2139331973,0.2724402463,0.8169205947,0.4722028104,128039.8679
6,0,3,1.013911386,0.1610361984,0.2953761639,0.2004358474,0.2504417151,0.7457813499,0.4319526831,105079.3164
7,0,3,1.016248693,0.1614074252,0.2774520076,0.184098328,0.2270475349,0.7009455497,0.404273131,104712.8348
8,0,3,1.018591388,0.1617795078,0.2627908464,0.1671531419,0.2051758956,0.6648218271,0.3811444646,98663.85186
9,0,3,1.020939484,0.162152448,0.2491258583,0.1516266026,0.1864364617,0.6311922514,0.3599362903,78650.69777
10,0,3,1.023292992,0.162526248,0.2333759079,0.1395621366,0.1714928616,0.5918501135,0.3367633675,71625.45419
11,0,3,1.025651926,0.1629009097,0.21578059,0.1306703975,0.1599820647,0.5472369477,0.3117284691,61748.69702
12,0,3,1.028016298,0.1632764351,0.1976250997,0.1235753977,0.1496581908,0.5009615099,0.2862195693,53615.58428
13,0,3,1.03038612,0.1636528262,0.1810606121,0.116361569,0.1395058485,0.4586234549,0.2627357585,49398.50155
14,0,3,1.032761406,0.1640300849,0.1677891812,0.108784207,0.1290484696,0.424951378,0.2435284348,40388.44112
15,0,3,1.035142167,0.1644082133,0.1565831989,0.1006448176,0.1189354781,0.3966710646,0.2270139087,37439.54806
16,0,3,1.037528416,0.1647872134,0.1462596873,0.09328075998,0.1098768142,0.3705965383,0.211841866,32197.56171
17,0,3,1.039920166,0.1651670871,0.1363592152,0.08680622388,0.1018953935,0.3455628466,0.1974370205,28311.01075
18,0,3,1.042317429,0.1655478366,0.1266808084,0.08122523687,0.09486547124,0.3209916096,0.1834943033,25437.58794
19,0,3,1.044720219,0.1659294638,0.1177702135,0.07616127581,0.08835558802,0.2983710807,0.1706622211,21149.86954
20,0,3,1.047128548,0.1663119707,0.1096571715,0.07131657793,0.08227718584,0.2777846923,0.1589375822,19706.14289
21,0,3,1.049542429,0.1666953594,0.1023574728,0.06679362905,0.07660186802,0.2592818455,0.1483520835,16584.67956
