step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,-1.538726675e-05,317.6029021,-1.161356136e-05,-2.465190329e-32,317.6029021,3.155443621e-30,-1.538726675e-05
1,0,-2.049938946e-05,295.0614957,-1.548821877e-05,0.003607827169,295.0578879,2.448997407e-07,-2.07442892e-05
2,0,-2.479510822e-05,274.65453,-1.874377857e-05,0.007564400142,274.6469656,3.891099152e-07,-2.518421814e-05
3,0,-2.837938618e-05,256.154616,-2.145984867e-05,0.01175924675,256.1428568,4.609756889e-07,-2.884036187e-05
4,0,-3.134345958e-05,239.3604347,-2.370565988e-05,0.01614373249,239.344291,4.818798957e-07,-3.182533947e-05
5,0,-3.377010624e-05,224.0935152,-2.554399914e-05,0.02067282498,224.0728423,4.67941919e-07,-3.423804816e-05
6,0,-3.572978285e-05,210.1954902,-2.702830981e-05,0.0253084812,210.1701817,4.323370733e-07,-3.616211992e-05
7,0,-3.728260393e-05,197.525708,-2.82041888e-05,0.03002206723,197.495686,3.863381937e-07,-3.766894212e-05
8,0,-3.847634163e-05,185.9591404,-2.910823679e-05,0.03479106595,185.9243493,3.426292914e-07,-3.881897092e-05
9,0,-3.937606077e-05,175.3845507,-2.97893666e-05,0.03959792917,175.3449528,2.881819249e-07,-3.966424269e-05
10,0,-3.989899604e-05,165.702887,-3.018521795e-05,0.04442897335,165.658458,3.537177463e-07,-4.025271378e-05
11,0,-4.050151477e-05,156.8258716,-3.0640695e-05,0.04927325635,156.7765983,3.357265161e-07,-4.083724128e-05
12,0,-4.089310804e-05,148.6747629,-3.093644375e-05,0.05412385019,148.620639,3.481211097e-07,-4.124122915e-05
13,0,-4.121681795e-05,141.1792973,-3.11805637e-05,0.05901394467,141.1202834,2.420742314e-07,-4.145889218e-05
14,0,-4.140019096e-05,134.2766429,-3.131809747e-05,0.06392762775,134.2127152,4.484761573e-08,-4.144503857e-05
15,0,-4.087414533e-05,127.910591,-3.091941729e-05,0.06883998803,127.841751,3.980394387e-07,-4.127218477e-05
16,0,-4.0968647e-05,122.0308268,-3.099041512e-05,0.07373442569,121.9570924,2.158267542e-08,-4.099022967e-05
17,0,-4.073149314e-05,116.5922734,-3.080886231e-05,0.0786056683,116.5136678,-1.054796245e-07,-4.062601352e-05
18,0,-4.037575859e-05,111.5545021,-3.053945442e-05,0.08345125656,111.4710508,-1.749858343e-07,-4.020077276e-05
19,0,-3.978534455e-05,106.881238,-3.018889522e-05,0.0882700083,106.792968,-6.054004104e-08,-3.972480451e-05
20,0,-3.944743332e-05,102.5398996,-2.986017484e-05,0.09306020542,102.4468393,-2.382438098e-07,-3.920918951e-05
21,0,-3.904654145e-05,98.50113157,-2.948944299e-05,0.09782277204,98.40330879,-3.837515279e-07,-3.866278992e-05
22,0,-3.849600625e-05,94.73850274,-2.908084987e-05,0.1025582318,94.63594451,-4.032709356e-07,-3.809273531e-05
23,0,-3.792241524e-05,91.22819151,-2.864938647e-05,0.1072658604,91.12092565,-4.175712936e-07,-3.750484394e-05
24,0,-3.733426094e-05,87.94871019,-2.820820426e-05,0.1119473044,87.83676289,-4.299178396e-07,-3.69043431e-05
25,0,-3.676799723e-05,84.88065362,-2.776317639e-05,0.1166029486,84.76405067,-4.726607993e-07,-3.629533643e-05
26,0,-3.61910755e-05,82.00648043,-2.731298485e-05,0.1212330324,81.8852474,-5.098125527e-07,-3.568126295e-05
27,0,-3.565119865e-05,79.31031867,-2.686250185e-05,0.1258383395,79.18448033,-5.862069545e-07,-3.506499169e-05
28,0,-3.484322611e-05,76.77779102,-2.636545341e-05,0.1304189712,76.64737205,-3.94313598e-07,-3.444891251e-05
29,0,-3.42885822e-05,74.39586156,-2.591771902e-05,0.1349752836,74.26088628,-4.535872989e-07,-3.38349949e-05
30,0,-3.366149951e-05,72.15269807,-2.546023331e-05,0.1395074618,72.01319061,-4.366115325e-07,-3.322488797e-05
31,0,-3.303354274e-05,70.03755064,-2.50053955e-05,0.1440162961,69.89353435,-4.136134199e-07,-3.261992932e-05
32,0,-3.246568337e-05,68.04064164,-2.453264836e-05,0.1485022284,67.89213941,-4.444502145e-07,-3.202123316e-05
33,0,-3.16812046e-05,66.15306888,-2.397449128e-05,0.1529656698,66.00010321,-2.515566114e-07,-3.142964799e-05
34,0,-3.10782767e-05,64.36671881,-2.35525595e-05,0.1574069737,64.20931183,-2.323870647e-07,-3.084588963e-05
35,0,-3.072178317e-05,62.67418891,-2.323702829e-05,0.1618264261,62.51236249,-4.51243728e-07,-3.027053945e-05
36,0,-3.018458453e-05,61.06871858,-2.285049147e-05,0.1662243345,60.90249425,-4.805460564e-07,-2.970403847e-05
37,0,-2.961657179e-05,59.54412705,-2.243982624e-05,0.170601085,59.37352596,-4.703584037e-07,-2.914621338e-05
38,0,-2.915151777e-05,58.09475764,-2.204704664e-05,0.1749569749,57.91980066,-5.539882001e-07,-2.859752957e-05
39,0,-2.866509617e-05,56.71542801,-2.1657028e-05,0.179292214,56.53613579,-6.068361746e-07,-2.805825999e-05
40,0,-2.814446422e-05,55.40138568,-2.126822994e-05,0.1836071301,55.21777855,-6.158693903e-07,-2.752859483e-05
41,0,-2.763146612e-05,54.14826778,-2.088607719e-05,0.1879020149,53.96036577,-6.228497084e-07,-2.700861641e-05
42,0,-2.712758298e-05,52.95206502,-2.051066201e-05,0.1921771551,52.75988786,-6.292574227e-07,-2.649832555e-05
43,0,-2.663306551e-05,51.8090892,-2.014195596e-05,0.1964328021,51.6126564,-6.354169277e-07,-2.599764858e-05
44,0,-2.614763318e-05,50.71594413,-1.977992199e-05,0.2006691955,50.51527494,-6.411360747e-07,-2.550649711e-05
45,0,-2.567105345e-05,49.66949934,-1.942445842e-05,0.2048865787,49.46461277,-6.462606745e-07,-2.502479277e-05
46,0,-2.520334199e-05,48.66686637,-1.907556945e-05,0.2090851769,48.45778119,-6.508414668e-07,-2.455250053e-05
47,0,-2.475068014e-05,47.70537738,-1.873380754e-05,0.2132651836,47.4921122,-6.611518652e-07,-2.408952827e-05
48,0,-2.43001347e-05,46.78256591,-1.839778344e-05,0.2174268176,46.5651391,-6.644116701e-07,-2.363572303e-05
49,0,-2.385465091e-05,45.89614942,-1.806779603e-05,0.2215702933,45.67457913,-6.637322879e-07,-2.319091862e-05
50,0,-2.342109714e-05,45.04401347,-1.774400559e-05,0.2256958131,44.81831766,-6.661562111e-07,-2.275494093e-05
51,0,-2.299548581e-05,44.22419746,-1.742608302e-05,0.2298036186,43.99439384,-6.678737066e-07,-2.232761211e-05
52,0,-2.257757784e-05,43.43488169,-1.711385852e-05,0.2338939442,43.20098775,-6.688391089e-07,-2.190873873e-05
53,0,-2.216798998e-05,42.67437562,-1.680780783e-05,0.2379670095,42.43640861,-6.693601936e-07,-2.149862979e-05
54,0,-2.176546635e-05,41.94110722,-1.650700906e-05,0.2420230193,41.6990842,-6.687712992e-07,-2.109669505e-05
55,0,-2.136594369e-05,41.23361328,-1.621109615e-05,0.2460621593,40.98755112,-6.632477764e-07,-2.070269591e-05
56,0,-2.097655085e-05,40.55053065,-1.592018929e-05,0.2500845977,40.30044606,-6.60110217e-07,-2.031644063e-05
57,0,-2.059276444e-05,39.89058823,-1.56334477e-05,0.2540905093,39.63649772,-6.550701978e-07,-1.993769425e-05
58,0,-2.021589793e-05,39.25259962,-1.535185961e-05,0.2580800487,38.99451957,-6.49641388e-07,-1.956625654e-05
59,0,-1.985805135e-05,38.63545657,-1.508455324e-05,0.2620533585,38.37340321,-6.562096028e-07,-1.920184175e-05
60,0,-1.95063903e-05,38.03812285,-1.482185258e-05,0.2660105693,37.77211228,-6.618149573e-07,-1.884457534e-05
61,0,-1.916121477e-05,37.45962875,-1.456397489e-05,0.2699518117,37.18967694,-6.669507426e-07,-1.849426403e-05
