step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,-1.538726675e-05,317.6029021,-1.161356136e-05,-2.465190329e-32,317.6029021,3.155443621e-30,-1.538726675e-05
1,0,-2.060143334e-05,295.0614924,-1.556519058e-05,0.003604498662,295.0578879,1.428558462e-07,-2.074428919e-05
2,0,-2.494599267e-05,274.6553731,-1.885761511e-05,0.007432698629,274.6479404,2.351149034e-07,-2.518110758e-05
3,0,-2.854063068e-05,256.1569942,-2.158155788e-05,0.01143255726,256.1455616,2.908545376e-07,-2.883148522e-05
4,0,-3.148972016e-05,239.3648013,-2.381613934e-05,0.01556308384,239.3492383,3.205732907e-07,-3.181029345e-05
5,0,-3.388410783e-05,224.1001177,-2.563023088e-05,0.01979196483,224.0803257,3.320618273e-07,-3.421616966e-05
6,0,-3.580272989e-05,210.2044141,-2.708367725e-05,0.02409370786,210.1803203,3.310675655e-07,-3.613379745e-05
7,0,-3.731406346e-05,197.5369176,-2.822839585e-05,0.02844818968,197.5084694,3.218009927e-07,-3.763586445e-05
8,0,-3.847742345e-05,185.972516,-2.910935927e-05,0.03283951853,185.9396765,3.073203786e-07,-3.878474383e-05
9,0,-3.934411645e-05,175.3999187,-2.976546913e-05,0.03725514193,175.3626636,2.898236172e-07,-3.963394006e-05
10,0,-3.995846295e-05,165.720043,-3.023033069e-05,0.04168514592,165.6783578,2.708689863e-07,-4.022933194e-05
11,0,-4.035870027e-05,156.8445969,-3.053293694e-05,0.04612170401,156.7984752,2.515417147e-07,-4.061024198e-05
12,0,-4.057777682e-05,148.6948333,-3.069827066e-05,0.05055864322,148.6442746,2.325793533e-07,-4.081035617e-05
13,0,-4.064404982e-05,141.2004545,-3.074783344e-05,0.05499110181,141.1454634,2.144657737e-07,-4.08585156e-05
14,0,-4.058189621e-05,134.2986481,-3.070010798e-05,0.05941525912,134.2392329,1.975014439e-07,-4.077939765e-05
15,0,-4.041224653e-05,127.9332379,-3.057096368e-05,0.06382812177,127.8694098,1.818557083e-07,-4.059410223e-05
16,0,-4.015305066e-05,122.0539356,-3.037400945e-05,0.06822735448,121.9857083,1.676055243e-07,-4.032065618e-05
17,0,-3.981968348e-05,116.6156815,-3.012090131e-05,0.07261114584,116.5430703,1.547638987e-07,-3.997444738e-05
18,0,-3.942529484e-05,111.578062,-2.982160781e-05,0.07697810171,111.5010839,1.433033557e-07,-3.95685982e-05
19,0,-3.89811245e-05,106.904796,-2.948464877e-05,0.08132716038,106.8234688,1.331624707e-07,-3.911428697e-05
20,0,-3.8496757e-05,102.5632805,-2.911728868e-05,0.08565752508,102.477623,1.242670091e-07,-3.862102401e-05
21,0,-3.798035583e-05,98.52418932,-2.872571427e-05,0.08996861008,98.43422071,1.165336652e-07,-3.809688949e-05
22,0,-3.743886033e-05,94.76111736,-2.831518386e-05,0.09425999774,94.66685737,1.098775049e-07,-3.754873783e-05
23,0,-3.687816208e-05,91.25026645,-2.789016113e-05,0.09853140407,91.15173504,1.042111494e-07,-3.698237323e-05
24,0,-3.630325281e-05,87.97016634,-2.745442737e-05,0.1027826513,87.86738369,9.9447935e-08,-3.640270075e-05
25,0,-3.571834945e-05,84.90142761,-2.701117629e-05,0.1070136455,84.79441396,9.550664826e-08,-3.58138561e-05
26,0,-3.512700594e-05,82.02652228,-2.656309888e-05,0.1112243596,81.91529792,9.23109747e-08,-3.521931692e-05
27,0,-3.453220846e-05,79.32958906,-2.611245564e-05,0.1154148184,79.21417424,8.978998645e-08,-3.462199844e-05
28,0,-3.393645736e-05,76.79626021,-2.566113877e-05,0.1195850875,76.67667513,8.787823319e-08,-3.402433559e-05
29,0,-3.334183778e-05,74.41350762,-2.521072562e-05,0.1237352644,74.28977236,8.651564393e-08,-3.342835342e-05
30,0,-3.275008016e-05,72.16950574,-2.476252476e-05,0.1278654705,72.04164027,8.564740922e-08,-3.283572757e-05
31,0,-3.216261068e-05,70.05350957,-2.431761412e-05,0.1319758459,69.92153373,8.522372635e-08,-3.224783441e-05
32,0,-3.158060151e-05,68.05574583,-2.387687915e-05,0.136066544,67.91967929,8.519924316e-08,-3.166580075e-05
33,0,-3.100500335e-05,66.16731592,-2.344103752e-05,0.1401377284,66.0271782,8.553294456e-08,-3.109053629e-05
34,0,-3.043658047e-05,64.38010925,-2.301066568e-05,0.1441895689,64.23591968,8.618770952e-08,-3.052276818e-05
35,0,-2.987593894e-05,62.68672579,-2.258622024e-05,0.1482222401,62.53850355,8.713000427e-08,-2.996306894e-05
36,0,-2.93235508e-05,61.08040688,-2.216805639e-05,0.1522359185,60.92817096,8.832951676e-08,-2.941188032e-05
37,0,-2.877977482e-05,59.55497323,-2.175644354e-05,0.1562307818,59.39874245,8.975885968e-08,-2.886953368e-05
38,0,-2.824487419e-05,58.10476942,-2.135157878e-05,0.1602070068,57.94456241,9.139329343e-08,-2.833626749e-05
39,0,-2.771903167e-05,56.72461416,-2.095359838e-05,0.1641647695,56.56044939,9.32104629e-08,-2.781224213e-05
40,0,-2.720236254e-05,55.40975565,-2.056258758e-05,0.1681042432,55.24165141,9.519014588e-08,-2.729755269e-05
41,0,-2.669492567e-05,54.15583152,-2.017858899e-05,0.1720255988,53.98380592,9.731405243e-08,-2.679223972e-05
42,0,-2.619673289e-05,52.95883279,-1.98016097e-05,0.1759290041,52.78290379,9.956563202e-08,-2.629629853e-05
43,0,-2.570775711e-05,51.81507155,-1.943162741e-05,0.1798146233,51.63525692,1.019298907e-07,-2.5809687e-05
44,0,-2.522793905e-05,50.72115172,-1.906859555e-05,0.1836826169,50.53746911,1.04393234e-07,-2.533233228e-05
45,0,-2.475719315e-05,49.6739429,-1.871244773e-05,0.1875331416,49.48640976,1.069433397e-07,-2.486413649e-05
46,0,-2.429541247e-05,48.67055659,-1.836310147e-05,0.1913663503,48.47919024,1.095690053e-07,-2.440498147e-05
47,0,-2.384247286e-05,47.70832492,-1.802046139e-05,0.1951823916,47.51314253,1.122600667e-07,-2.395473293e-05
48,0,-2.339823656e-05,46.7847813,-1.768442182e-05,0.1989814105,46.58579988,1.150072694e-07,-2.351324383e-05
49,0,-2.296255514e-05,45.89764301,-1.735486916e-05,0.2027635476,45.69487946,1.178022015e-07,-2.308035734e-05
50,0,-2.253527208e-05,45.04479544,-1.703168375e-05,0.20652894,44.8382665,1.206371923e-07,-2.265590927e-05
51,0,-2.211622488e-05,44.2242778,-1.671474148e-05,0.2102777205,44.01400008,1.235052558e-07,-2.223973014e-05
52,0,-2.170524687e-05,43.43427016,-1.640391514e-05,0.2140100183,43.22026014,1.264000187e-07,-2.183164689e-05
53,0,-2.130216866e-05,42.67308175,-1.609907557e-05,0.217725959,42.45535579,1.293156641e-07,-2.143148432e-05
54,0,-2.090681945e-05,41.93914032,-1.580009259e-05,0.2214256643,41.71771466,1.322468779e-07,-2.103906633e-05
55,0,-2.051902804e-05,41.23098242,-1.550683579e-05,0.2251092527,41.00587317,1.35188806e-07,-2.065421684e-05
56,0,-2.013862368e-05,40.54724466,-1.521917516e-05,0.228776839,40.31846782,1.381370106e-07,-2.027676069e-05
57,0,-1.976543682e-05,39.88665565,-1.493698166e-05,0.2324285348,39.65422712,1.410874262e-07,-1.990652425e-05
58,0,-1.939929963e-05,39.24802878,-1.466012759e-05,0.2360644485,39.01196433,1.440363375e-07,-1.954333597e-05
59,0,-1.904004651e-05,38.63025553,-1.438848701e-05,0.2396846855,38.39057085,1.469803402e-07,-1.918702685e-05
60,0,-1.868751445e-05,38.03229943,-1.412193599e-05,0.2432893479,37.78901008,1.499163207e-07,-1.883743077e-05
61,0,-1.834154332e-05,37.45319053,-1.38603528e-05,0.2468785353,37.20631199,1.528414174e-07,-1.849438474e-05
62,0,-1.800197613e-05,36.89202033,-1.360361816e-05,0.2504523441,36.64156799,1.557530162e-07,-1.815772914e-05
63,0,-1.766865932e-05,36.34793721,-1.33516154e-05,0.2540108683,36.09392634,1.586487119e-07,-1.782730804e-05
64,0,-1.734144312e-05,35.82014212,-1.310423078e-05,0.2575541993,35.56258792,1.615262891e-07,-1.750296941e-05
65,0,-1.70201806e-05,35.3078848,-1.28613527e-05,0.2610824258,35.04680237,1.643837351e-07,-1.718456434e-05
66,0,-1.670472816e-05,34.81046015,-1.262287218e-05,0.2645956342,34.54586451,1.672192168e-07,-1.687194738e-05
67,0,-1.639494609e-05,34.32720501,-1.238868315e-05,0.2680939087,34.05911111,1.700310416e-07,-1.656497714e-05
68,0,-1.609069829e-05,33.8574952,-1.215868233e-05,0.271577331,33.58591787,1.728176605e-07,-1.626351595e-05
69,0,-1.579185221e-05,33.40074269,-1.193276915e-05,0.2750459809,33.12569671,1.755776519e-07,-1.596742987e-05
70,0,-1.549827888e-05,32.95639317,-1.171084577e-05,0.278499936,32.67789323,1.783097172e-07,-1.56765886e-05
71,0,-1.520985282e-05,32.52392364,-1.149281702e-05,0.281939272,32.24198437,1.810126695e-07,-1.539086549e-05
72,0,-1.492645201e-05,32.10284033,-1.127859034e-05,0.2853640625,31.81747626,1.836854173e-07,-1.511013743e-05
73,0,-1.464795783e-05,31.69267668,-1.10680758e-05,0.2887743795,31.4039023,1.863269716e-07,-1.48342848e-05
74,0,-1.437425496e-05,31.29299158,-1.086118597e-05,0.2921702931,31.00082128,1.889364221e-07,-1.456319138e-05
75,0,-1.410523137e-05,30.9033676,-1.065783592e-05,0.2955518715,30.60781573,1.915129433e-07,-1.429674431e-05
76,0,-1.384077818e-05,30.52340952,-1.045794312e-05,0.2989191817,30.22449034,1.940557885e-07,-1.403483396e-05
77,0,-1.358078962e-05,30.15274286,-1.026142741e-05,0.3022722886,29.85047057,1.96564265e-07,-1.377735389e-05
78,0,-1.332516296e-05,29.79101253,-1.006821094e-05,0.305611256,29.48540127,1.990377564e-07,-1.352420072e-05
79,0,-1.307379838e-05,29.43788164,-9.878218078e-06,0.308936146,29.1289455,2.014757053e-07,-1.327527408e-05
80,0,-1.282659893e-05,29.09303034,-9.691375376e-06,0.3122470193,28.78078332,2.038775971e-07,-1.303047653e-05
81,0,-1.258347046e-05,28.75615476,-9.5076115e-06,0.3155439354,28.44061083,2.062429827e-07,-1.278971344e-05
82,0,-1.234432149e-05,28.42696603,-9.326857163e-06,0.3188269522,28.10813908,2.085714478e-07,-1.255289293e-05
83,0,-1.210906316e-05,28.10518938,-9.149045074e-06,0.3220961265,27.78309325,2.108626313e-07,-1.231992579e-05
84,0,-1.187760919e-05,27.79056327,-8.974109868e-06,0.325351514,27.46521176,2.131162028e-07,-1.209072539e-05
85,0,-1.164987573e-05,27.48283865,-8.801988059e-06,0.3285931691,27.15424548,2.153318735e-07,-1.18652076e-05
86,0,-1.142578133e-05,27.18177814,-8.632617967e-06,0.331821145,26.849957,2.175093909e-07,-1.164329072e-05
87,0,-1.120524685e-05,26.88715547,-8.465939682e-06,0.3350354938,26.55211997,2.196485364e-07,-1.142489538e-05
88,0,-1.09881954e-05,26.59875472,-8.301894988e-06,0.3382362668,26.26051845,2.217491177e-07,-1.120994452e-05
89,0,-1.077455228e-05,26.3163698,-8.140427327e-06,0.341423514,25.97494629,2.238109708e-07,-1.099836325e-05
90,0,-1.056424488e-05,26.03980391,-7.981481733e-06,0.3445972845,25.69520662,2.258339575e-07,-1.079007883e-05
91,0,-1.035720262e-05,25.76886894,-7.825004791e-06,0.3477576267,25.42111132,2.278179675e-07,-1.058502059e-05
92,0,-1.015335692e-05,25.50338509,-7.670944586e-06,0.3509045877,25.1524805,2.297629074e-07,-1.038311983e-05
93,0,-9.952641096e-06,25.24318032,-7.519250649e-06,0.3540382139,24.88914211,2.316687107e-07,-1.018430981e-05
94,0,-9.754990328e-06,24.98809002,-7.369873924e-06,0.357158551,24.63093147,2.335353243e-07,-9.988525653e-06
95,0,-9.560341579e-06,24.73795654,-7.222766708e-06,0.3602656437,24.37769089,2.353627197e-07,-9.795704299e-06
96,0,-9.368633558e-06,24.49262886,-7.077882617e-06,0.363359536,24.12926932,2.371508781e-07,-9.605784436e-06
97,0,-9.179806648e-06,24.25196223,-6.935176545e-06,0.366440271,23.88552196,2.388998032e-07,-9.418706451e-06
98,0,-8.993802866e-06,24.01581785,-6.794604617e-06,0.3695078913,23.64630996,2.406095078e-07,-9.234412374e-06
99,0,-8.810565805e-06,23.78406256,-6.656124153e-06,0.3725624387,23.41150012,2.422800199e-07,-9.052845825e-06
100,0,-8.630040582e-06,23.55656854,-6.519693629e-06,0.3756039542,23.18096459,2.439113819e-07,-8.873951964e-06
101,0,-8.452173793e-06,23.33321308,-6.385272645e-06,0.3786324783,22.95458061,2.455036455e-07,-8.697677439e-06
102,0,-8.276913466e-06,23.11387828,-6.252821882e-06,0.3816480508,22.73223023,2.470568757e-07,-8.523970342e-06
103,0,-8.104209019e-06,22.89845084,-6.122303074e-06,0.3846507109,22.51380013,2.485711423e-07,-8.352780161e-06
104,0,-7.934011206e-06,22.68682181,-5.993678969e-06,0.3876404973,22.29918131,2.50046531e-07,-8.184057737e-06
105,0,-7.766272088e-06,22.47888641,-5.866913302e-06,0.3906174479,22.08826897,2.514831309e-07,-8.017755219e-06
106,0,-7.600944983e-06,22.27454383,-5.741970763e-06,0.3935816003,21.88096223,2.528810388e-07,-7.853826022e-06
107,0,-7.437984429e-06,22.07369699,-5.618816966e-06,0.3965329915,21.67716399,2.542403642e-07,-7.692224793e-06
108,0,-7.277346149e-06,21.87625242,-5.497418418e-06,0.3994716579,21.47678077,2.555612153e-07,-7.532907365e-06
109,0,-7.118987009e-06,21.6821201,-5.377742498e-06,0.4023976355,21.27972247,2.568437132e-07,-7.375830722e-06
110,0,-6.962864988e-06,21.49121324,-5.259757421e-06,0.4053109598,21.08590228,2.580879799e-07,-7.220952968e-06
111,0,-6.80893914e-06,21.30344817,-5.143432217e-06,0.4082116658,20.89523651,2.59294145e-07,-7.068233285e-06
112,0,-6.657169561e-06,21.11874421,-5.028736706e-06,0.4110997881,20.70764442,2.604623399e-07,-6.917631901e-06
113,0,-6.507517357e-06,20.93702349,-4.915641473e-06,0.4139753609,20.52304813,2.615927048e-07,-6.769110062e-06
114,0,-6.359944621e-06,20.75821088,-4.804117847e-06,0.416838418,20.34137246,2.626853757e-07,-6.622629997e-06
115,0,-6.214414386e-06,20.58223384,-4.694137872e-06,0.4196889928,20.16254485,2.637404991e-07,-6.478154885e-06
116,0,-6.070890618e-06,20.40902231,-4.585674292e-06,0.4225271181,19.98649519,2.647582169e-07,-6.335648835e-06
117,0,-5.929338161e-06,20.2385086,-4.478700525e-06,0.4253528267,19.81315577,2.657386853e-07,-6.195076846e-06
118,0,-5.789722741e-06,20.07062729,-4.373190646e-06,0.4281661508,19.64246114,2.666820478e-07,-6.056404789e-06
119,0,-5.652010917e-06,19.90531516,-4.269119364e-06,0.4309671224,19.47434804,2.675884587e-07,-5.919599376e-06
120,0,-5.516170067e-06,19.74251104,-4.166462007e-06,0.4337557729,19.30875527,2.684580701e-07,-5.784628137e-06
121,0,-5.382168355e-06,19.58215579,-4.065194498e-06,0.4365321338,19.14562365,2.692910366e-07,-5.651459392e-06
122,0,-5.249974719e-06,19.42419215,-3.965293342e-06,0.4392962359,18.98489591,2.70087512e-07,-5.520062231e-06
123,0,-5.119558835e-06,19.26856472,-3.866735608e-06,0.44204811,18.82651661,2.708476532e-07,-5.390406488e-06
124,0,-4.990891108e-06,19.11521986,-3.769498909e-06,0.4447877864,18.67043207,2.715716138e-07,-5.262462722e-06
125,0,-4.863942646e-06,18.96410561,-3.673561392e-06,0.4475152952,18.51659031,2.722595462e-07,-5.136202193e-06
126,0,-4.738685233e-06,18.81517164,-3.578901714e-06,0.4502306663,18.36494098,2.729116073e-07,-5.011596841e-06
127,0,-4.615091315e-06,18.66836919,-3.485499036e-06,0.4529339293,18.21543526,2.735279513e-07,-4.888619266e-06
128,0,-4.493133986e-06,18.52365096,-3.393333003e-06,0.4556251136,18.06802585,2.741087284e-07,-4.767242714e-06
129,0,-4.372786959e-06,18.38097114,-3.302383732e-06,0.4583042482,17.92266689,2.746540893e-07,-4.647441049e-06
130,0,-4.254024559e-06,18.24028526,-3.212631795e-06,0.4609713621,17.7793139,2.751641827e-07,-4.529188741e-06
131,0,-4.136821689e-06,18.1015502,-3.12405821e-06,0.4636264839,17.63792372,2.7563916e-07,-4.412460849e-06
132,0,-4.021153831e-06,17.96472412,-3.036644427e-06,0.4662696421,17.49845448,2.760791672e-07,-4.297232998e-06
133,0,-3.906997024e-06,17.82976641,-2.950372316e-06,0.468900865,17.36086555,2.764843471e-07,-4.183481372e-06
134,0,-3.794327843e-06,17.69663764,-2.865224152e-06,0.4715201806,17.22511746,2.768548439e-07,-4.071182687e-06
135,0,-3.683123388e-06,17.56529953,-2.78118261e-06,0.4741276168,17.09117191,2.771907973e-07,-3.960314185e-06
136,0,-3.573361267e-06,17.43571488,-2.698230746e-06,0.4767232013,16.95899168,2.774923492e-07,-3.850853616e-06
137,0,-3.465019589e-06,17.30784759,-2.616351992e-06,0.4793069617,16.82854062,2.777596323e-07,-3.742779221e-06
138,0,-3.358076939e-06,17.18166253,-2.535530143e-06,0.4818789253,16.6997836,2.779927821e-07,-3.636069722e-06
139,0,-3.252512373e-06,17.05712559,-2.455749348e-06,0.4844391194,16.57268647,2.781919325e-07,-3.530704305e-06
140,0,-3.148305395e-06,16.93420361,-2.376994098e-06,0.4869875709,16.44721604,2.783572152e-07,-3.42666261e-06
141,0,-3.045435963e-06,16.81286431,-2.299249223e-06,0.4895243069,16.32334001,2.784887534e-07,-3.323924717e-06
142,0,-2.943884452e-06,16.69307634,-2.22249987e-06,0.492049354,16.20102699,2.785866797e-07,-3.222471132e-06
143,0,-2.843631665e-06,16.57480918,-2.146731509e-06,0.494562739,16.08024644,2.786511156e-07,-3.12228278e-06
144,0,-2.744658802e-06,16.45803311,-2.071929913e-06,0.4970644883,15.96096863,2.786821869e-07,-3.023340989e-06
145,0,-2.646947465e-06,16.34271926,-1.998081159e-06,0.4995546283,15.84316463,2.786800133e-07,-2.925627479e-06
146,0,-2.550479632e-06,16.22883947,-1.925171609e-06,0.5020331854,15.72680629,2.786447219e-07,-2.829124354e-06
147,0,-2.455237663e-06,16.11636637,-1.853187913e-06,0.5045001856,15.61186618,2.785764275e-07,-2.73381409e-06
148,0,-2.361204268e-06,16.00527327,-1.782116992e-06,0.506955655,15.49831762,2.78475257e-07,-2.639679525e-06
149,0,-2.268362521e-06,15.8955342,-1.711946039e-06,0.5093996196,15.38613458,2.78341329e-07,-2.54670385e-06
150,0,-2.17669583e-06,15.78712385,-1.642662504e-06,0.5118321053,15.27529174,2.781747666e-07,-2.454870596e-06
151,0,-2.086187935e-06,15.68001754,-1.574254095e-06,0.5142531377,15.1657644,2.779756945e-07,-2.36416363e-06
152,0,-1.996822906e-06,15.57419126,-1.506708763e-06,0.5166627426,15.05752851,2.777442369e-07,-2.274567143e-06
153,0,-1.908585117e-06,15.46962156,-1.4400147e-06,0.5190609456,14.95056061,2.774805231e-07,-2.18606564e-06
154,0,-1.821459252e-06,15.36628561,-1.374160335e-06,0.5214477721,14.84483783,2.77184684e-07,-2.098643936e-06
155,0,-1.735430289e-06,15.26416113,-1.309134321e-06,0.5238232476,14.74033788,2.768568553e-07,-2.012287145e-06
156,0,-1.650483489e-06,15.1632264,-1.244925533e-06,0.5261873974,14.637039,2.764971813e-07,-1.92698067e-06
157,0,-1.566604398e-06,15.06346024,-1.181523066e-06,0.5285402469,14.53491999,2.761058026e-07,-1.8427102e-06
158,0,-1.483778825e-06,14.96484197,-1.118916219e-06,0.5308818213,14.43396015,2.756828755e-07,-1.7594617e-06
159,0,-1.401992844e-06,14.86735142,-1.057094499e-06,0.5332121456,14.33413927,2.752285594e-07,-1.677221403e-06
160,0,-1.32123278e-06,14.7709689,-9.960476096e-07,0.5355312451,14.23543765,2.747430259e-07,-1.595975806e-06
161,0,-1.241485204e-06,14.67567519,-9.357654513e-07,0.5378391448,14.13783605,2.742264533e-07,-1.515711657e-06
162,0,-1.162736931e-06,14.58145154,-8.762381095e-07,0.5401358696,14.04131567,2.736790277e-07,-1.436415959e-06
163,0,-1.084974997e-06,14.48827963,-8.174558555e-07,0.5424214445,13.94585819,2.731009542e-07,-1.358075951e-06
164,0,-1.008186667e-06,14.39614157,-7.594091365e-07,0.5446958944,13.85144567,2.724924448e-07,-1.280679112e-06
165,0,-9.323594178e-07,14.30501988,-7.020885762e-07,0.5469592442,13.75806064,2.718537305e-07,-1.204213148e-06
166,0,-8.574809412e-07,14.2148975,-6.454849653e-07,0.5492115186,13.66568598,2.711850512e-07,-1.128665992e-06
167,0,-7.835391203e-07,14.12575774,-5.895892583e-07,0.5514527425,13.574305,2.704866732e-07,-1.054025794e-06
168,0,-7.105220421e-07,14.03758431,-5.343925704e-07,0.5536829405,13.48390137,2.697588712e-07,-9.802809133e-07
169,0,-6.384179789e-07,13.95036129,-4.798861731e-07,0.5559021374,13.39445915,2.690019427e-07,-9.074199215e-07
170,0,-5.672153878e-07,13.8640731,-4.260614895e-07,0.5581103578,13.30596275,2.682162049e-07,-8.354315926e-07
