step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,1.001536236,0,0.8094051876,0.578143797,0.8012732366,2.282522657,1.307797336,563584.4543
1,0,3,1.001536236,0.6102347531,0.6854200617,0.3308250352,0.4348149508,1.975917526,1.080805253,523772.2713
2,0,3,1.003074831,0.6111722174,0.592090621,0.2706294054,0.3882119661,1.731951289,0.9452744807,484763.9102
3,0,3,1.00461579,0.6121111219,0.5143146237,0.2392349596,0.378588968,1.515967955,0.8311500085,432487.68
4,0,3,1.006159117,0.6130514687,0.4503920482,0.2353865802,0.3785695537,1.323699493,0.733783874,363638.7883
5,0,3,1.007704814,0.6139932602,0.4048933232,0.2442311796,0.3728189508,1.177382069,0.6612128968,280781.8941
6,0,3,1.009252886,0.6149364984,0.3758971061,0.252113177,0.3593509299,1.08600828,0.6151029919,221327.6145
7,0,3,1.010803336,0.6158811857,0.3573575717,0.2559213532,0.3403789928,1.032743236,0.5864334196,237925.455
8,0,3,1.012356168,0.6168273243,0.3452593775,0.2476314446,0.317980705,0.9997500853,0.5659366863,226256.3386
9,0,3,1.013911386,0.6177749164,0.3387959883,0.2291120684,0.2991219458,0.9826686479,0.5528079847,182328.3798
10,0,3,1.015468992,0.6187239641,0.3355914512,0.2155608152,0.2839354315,0.982188656,0.548726246,207709.8158
11,0,3,1.017028992,0.6196744699,0.3267834439,0.2019720523,0.2694659517,0.9693009978,0.5384553028,222293.477
12,0,3,1.018591388,0.6206264358,0.3122123256,0.1865262057,0.2582991882,0.9287316941,0.5151527909,197546.8751
13,0,3,1.020156184,0.6215798642,0.2965265996,0.1768503861,0.2490228087,0.8775333348,0.4876682265,150296.309
14,0,3,1.021723385,0.6225347573,0.2823528476,0.1779657723,0.2386458868,0.835157896,0.4652514152,166179.274
15,0,3,1.023292992,0.6234911173,0.2651528561,0.17738442,0.2252665323,0.7833002859,0.4376287291,163217.4331
16,0,3,1.024865011,0.6244489465,0.2503969541,0.1658258598,0.2131351078,0.7340659626,0.4106325188,128330.4297
17,0,3,1.026439445,0.6254082471,0.2429328261,0.1572262678,0.203276011,0.7120705635,0.3975242387,119397.6776
18,0,3,1.028016298,0.6263690215,0.2349782438,0.1524989278,0.1925094044,0.6943264138,0.3865293449,135066.2214
19,0,3,1.029595573,0.6273312719,0.2226167707,0.1401606928,0.1824376014,0.6581780822,0.3659525627,121571.1617
20,0,3,1.031177275,0.6282950005,0.2118687064,0.1299983529,0.1744242646,0.6224161963,0.3462707272,88098.47688
21,0,3,1.032761406,0.6292602096,0.2039195743,0.1279801155,0.1665791319,0.5996656548,0.3336576117,98388.64353
22,0,3,1.034347971,0.6302269015,0.1942259763,0.1263102566,0.1578478288,0.5731542539,0.3190218435,99866.32438
23,0,3,1.035936973,0.6311950784,0.1826081353,0.1165497361,0.1501010091,0.534921841,0.298161559,77896.24446
24,0,3,1.037528416,0.6321647427,0.1761759281,0.1104362541,0.1436121995,0.5146286805,0.2866623739,67948.02167
