step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,2.465190329e-32,-1.925929944e-34,3.081487911e-33,-1.925929944e-34,0,2.465190329e-32,0
1,0,3.691373048e-09,0.007744219294,1.161950206e-09,0.007744219294,0,3.691373048e-09,0
2,0,-3.218403842e-12,0.01415286606,-2.977963104e-09,0.01415286606,0,-3.218403842e-12,0
3,0,-5.989021111e-09,0.0200021665,-8.137713421e-09,0.0200021665,0,-5.989021111e-09,0
4,0,-2.009366408e-08,0.02554280871,-1.971296528e-08,0.02554280871,0,-2.009366408e-08,0
5,0,-3.430814332e-08,0.0308769727,-3.122506532e-08,0.0308769727,0,-3.430814332e-08,0
6,0,-5.610474055e-08,0.03605569475,-4.830868826e-08,0.03605569475,0,-5.610474055e-08,0
7,0,-8.025734969e-08,0.04110701028,-6.70175691e-08,0.04110701028,0,-8.025734969e-08,0
8,0,-1.013928584e-07,0.04604765469,-8.329792218e-08,0.04604765469,0,-1.013928584e-07,0
9,0,-1.045757849e-07,0.05088830464,-8.588135693e-08,0.05088830464,0,-1.045757849e-07,0
10,0,-1.69843768e-07,0.05563596576,-1.351869244e-07,0.05563596576,0,-1.69843768e-07,0
11,0,-4.20786683e-07,0.0602953549,-3.246170521e-07,0.0602953549,0,-4.20786683e-07,0
12,0,-5.864838626e-07,0.0648692904,-4.494938349e-07,0.0648692904,0,-5.864838626e-07,0
13,0,-6.911975102e-07,0.06936013872,-5.337624848e-07,0.06936013872,0,-6.911975102e-07,0
14,0,-6.989514773e-07,0.07377396259,-5.384082404e-07,0.07377396259,0,-6.989514773e-07,0
15,0,-5.593099028e-07,0.07810476438,-4.236571083e-07,0.07810476438,0,-5.593099028e-07,0
16,0,-4.579950763e-07,0.08234679683,-3.460769659e-07,0.08234679683,0,-4.579950763e-07,0
17,0,-3.290561742e-07,0.08649455864,-2.778144044e-07,0.08649455864,0,-3.290561742e-07,0
18,0,-3.115764428e-07,0.09054031304,-2.394124241e-07,0.09054031304,0,-3.115764428e-07,0
19,0,-2.416606308e-07,0.09447654289,-2.103123244e-07,0.09447654289,0,-2.416606308e-07,0
20,0,-2.25972405e-07,0.09829385707,-1.940495972e-07,0.09829385707,0,-2.25972405e-07,0
21,0,-2.906970338e-07,0.1019813623,-1.967018358e-07,0.1019813623,0,-2.906970338e-07,0
22,0,-2.635759826e-07,0.1055219613,-1.867598395e-07,0.1055219613,0,-2.635759826e-07,0
23,0,-2.222230197e-07,0.108894282,-1.694750147e-07,0.108894282,0,-2.222230197e-07,0
24,0,-2.113807148e-07,0.112089705,-1.603109182e-07,0.112089705,0,-2.113807148e-07,0
25,0,-1.954030578e-07,0.1151000049,-1.517894786e-07,0.1151000049,0,-1.954030578e-07,0
26,0,-1.8761023e-07,0.1179173873,-1.434657022e-07,0.1179173873,0,-1.8761023e-07,0
27,0,-1.795853655e-07,0.1205351735,-1.353592029e-07,0.1205351735,0,-1.795853655e-07,0
28,0,-1.708671648e-07,0.1229473956,-1.272686495e-07,0.1229473956,0,-1.708671648e-07,0
29,0,-1.623954925e-07,0.1251497857,-1.191243419e-07,0.1251497857,0,-1.623954925e-07,0
30,0,-1.945186004e-07,0.127139624,-1.229441308e-07,0.127139624,0,-1.945186004e-07,0
31,0,-1.800347189e-07,0.1289157546,-1.138133817e-07,0.1289157546,0,-1.800347189e-07,0
32,0,-1.579564137e-07,0.1304782177,-1.042475957e-07,0.1304782177,0,-1.579564137e-07,0
33,0,-1.412687628e-07,0.131829418,-9.537962422e-08,0.131829418,0,-1.412687628e-07,0
34,0,-1.263585346e-07,0.1329737637,-8.601135358e-08,0.1329737637,0,-1.263585346e-07,0
35,0,-1.12295251e-07,0.1339166587,-7.684950486e-08,0.1339166587,0,-1.12295251e-07,0
36,0,-9.891419843e-08,0.1346662478,-6.772799405e-08,0.1346662478,0,-9.891419843e-08,0
37,0,-8.11053856e-08,0.1352327663,-5.672572043e-08,0.1352327663,0,-8.11053856e-08,0
38,0,-2.581267408e-08,0.1356290048,-3.550364987e-08,0.1356290048,0,-2.581267408e-08,0
39,0,-2.865977814e-08,0.1358695035,-3.082297668e-08,0.1358695035,0,-2.865977814e-08,0
40,0,-1.829031854e-08,0.1359710852,-2.061155912e-08,0.1359710852,0,-1.829031854e-08,0
41,0,-1.272615829e-08,0.1359564658,-1.07389929e-08,0.1359564658,0,-1.272615829e-08,0
42,0,4.469917683e-08,0.1358413909,1.927340874e-08,0.1358413909,0,4.469917683e-08,0
