step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,2.022041949e-09,1,0,0
2,3,1.802438582e-09,1,4.325716128e-07,0.2008837013
3,3,1.747653726e-09,1,4.357796453e-07,0.2011056581
4,3,1.768669901e-09,1,4.393288502e-07,0.2013278602
5,3,1.836076435e-09,1,4.432708859e-07,0.2015503078
6,3,1.937772934e-09,1,4.476428545e-07,0.2017730012
7,3,2.068072601e-09,1,4.509820349e-07,0.2019959406
8,3,2.223993624e-09,1,4.532132244e-07,0.2022191263
9,3,2.404291896e-09,1,4.55312314e-07,0.2024425587
10,3,2.608458689e-09,1,4.573166686e-07,0.2026662379
11,3,2.836318989e-09,1,4.59252228e-07,0.2028901643
12,3,3.10779331e-09,1,4.611370719e-07,0.203114338
13,3,3.481569875e-09,1,4.629841957e-07,0.2033387595
14,3,3.918030498e-09,1,4.648031938e-07,0.2035634289
15,3,4.407541947e-09,1,4.666013218e-07,0.2037883466
16,3,4.956784995e-09,1,4.684365157e-07,0.2040135128
17,3,5.577371229e-09,1,4.703130199e-07,0.2042389277
18,3,6.287748437e-09,1,4.722282187e-07,0.2044645918
19,3,7.100966622e-09,1,4.741800623e-07,0.2046905051
20,3,8.054955306e-09,1,4.761669863e-07,0.2049166681
21,3,9.190301334e-09,1,4.781878505e-07,0.205143081
22,3,1.061245495e-08,1,4.802418954e-07,0.205369744
23,3,1.241516255e-08,1,4.823287109e-07,0.2055966575
24,3,1.450167875e-08,1,4.844655961e-07,0.2058238217
25,3,1.683883372e-08,1,4.868164031e-07,0.2060512368
26,3,1.935867971e-08,1,4.894134117e-07,0.2062789033
27,3,2.19628189e-08,1,4.922875458e-07,0.2065068213
28,3,2.451883891e-08,1,4.954674984e-07,0.2067349911
29,3,2.686965049e-08,1,4.989788612e-07,0.2069634131
30,3,2.884428521e-08,1,5.028432936e-07,0.2071920874
31,3,3.029938145e-08,1,5.070777598e-07,0.2074210144
32,3,3.111634233e-08,1,5.116938745e-07,0.2076501943
33,3,3.123123632e-08,1,5.166974054e-07,0.2078796274
34,3,3.065780606e-08,1,5.220879823e-07,0.2081093141
35,3,2.945676925e-08,1,5.27859062e-07,0.2083392545
36,3,2.775519743e-08,1,5.339980691e-07,0.208569449
37,3,2.570449833e-08,1,5.404867953e-07,0.2087998978
38,3,2.346344908e-08,1,5.473019527e-07,0.2090306013
39,3,2.119165815e-08,1,5.544158366e-07,0.2092615596
40,3,1.904131067e-08,1,5.617989092e-07,0.2094927732
41,3,1.717436214e-08,1,5.694152498e-07,0.2097242422
42,3,1.56190469e-08,1,5.772285071e-07,0.2099559669
43,3,1.442420018e-08,1,5.83087347e-07,0.2101879477
44,3,1.365145807e-08,1,5.889697639e-07,0.2104201849
45,3,1.332076897e-08,1,5.948815906e-07,0.2106526786
46,3,1.340283496e-08,1,6.007979281e-07,0.2108854292
47,3,1.386763687e-08,1,6.066950248e-07,0.2111184369
48,3,1.470422618e-08,1,6.125504801e-07,0.2113517021
49,3,1.606983814e-08,1,6.183433955e-07,0.2115852251
50,3,1.790952974e-08,1,6.240544576e-07,0.2118190061
51,3,2.013783493e-08,1,6.296380199e-07,0.2120530453
52,3,2.271983162e-08,1,6.342718876e-07,0.2122873432
53,3,2.557315075e-08,1,6.383791266e-07,0.2125218999
54,3,2.854449418e-08,1,6.423965537e-07,0.2127567158
55,3,3.140840192e-08,1,6.463214529e-07,0.2129917912
56,3,3.38913933e-08,1,6.501488989e-07,0.2132271263
57,3,3.571644088e-08,1,6.538716831e-07,0.2134627214
58,3,3.664616429e-08,1,6.574806637e-07,0.2136985768
59,3,3.65676203e-08,1,6.609656304e-07,0.2139346928
60,3,3.548227046e-08,1,6.643166311e-07,0.2141710697
61,3,3.353449e-08,1,6.675256623e-07,0.2144077078
62,3,3.09305201e-08,1,6.705888118e-07,0.2146446073
63,3,2.794511791e-08,1,6.735060832e-07,0.2148817686
64,3,2.485300995e-08,1,6.762797519e-07,0.2151191919
65,3,2.20140205e-08,1,6.778189829e-07,0.2153568776
66,3,1.969245313e-08,1,6.77153106e-07,0.2155948259
67,3,1.802083167e-08,1,6.766460825e-07,0.215833037
68,3,1.685466908e-08,1,6.762147227e-07,0.2160715114
69,3,1.616253491e-08,1,6.759981546e-07,0.2163102493
70,3,1.590427667e-08,1,6.759959003e-07,0.216549251
71,3,1.602783837e-08,1,6.762010256e-07,0.2167885167
72,3,1.64657049e-08,1,6.766073332e-07,0.2170280468
73,3,1.728462478e-08,1,6.77201169e-07,0.2172678415
74,3,1.883711879e-08,1,6.779497241e-07,0.2175079012
75,3,2.084308271e-08,1,6.788514717e-07,0.2177482262
76,3,2.328961852e-08,1,6.798988024e-07,0.2179888167
77,3,2.613984828e-08,1,6.810862399e-07,0.218229673
78,3,2.92979016e-08,1,6.823526103e-07,0.2184707954
79,3,3.259204909e-08,1,6.837276188e-07,0.2187121843
80,3,3.577081183e-08,1,6.853140698e-07,0.2189538398
