step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,2.465190329e-32,-1.925929944e-34,3.081487911e-33,-1.925929944e-34,0,2.465190329e-32,0
1,0,3.691373048e-09,0.007744219294,1.161950206e-09,0.007744219294,0,3.691373048e-09,0
2,0,1.908280001e-11,0.01415285823,-2.961593446e-09,0.01415285823,0,1.908280001e-11,0
3,0,-5.911587379e-09,0.02000215157,-8.079370391e-09,0.02000215157,0,-5.911587379e-09,0
4,0,-1.992564006e-08,0.02554278248,-1.95864101e-08,0.02554278248,0,-1.992564006e-08,0
5,0,-3.390145192e-08,0.03087693505,-3.091857528e-08,0.03087693505,0,-3.390145192e-08,0
6,0,-5.592782623e-08,0.03605564307,-4.817573305e-08,0.03605564307,0,-5.592782623e-08,0
7,0,-8.110550166e-08,0.04110694327,-6.765832298e-08,0.04110694327,0,-8.110550166e-08,0
8,0,-1.057717005e-07,0.04604757366,-8.660344551e-08,0.04604757366,0,-1.057717005e-07,0
9,0,-1.200607851e-07,0.0508882109,-9.756943439e-08,0.0508882109,0,-1.200607851e-07,0
10,0,-1.398506655e-07,0.05563587159,-1.125451328e-07,0.05563587159,0,-1.398506655e-07,0
11,0,-3.90534701e-07,0.06029529046,-3.017774533e-07,0.06029529046,0,-3.90534701e-07,0
12,0,-5.246170167e-07,0.06486926461,-4.027909003e-07,0.06486926461,0,-5.246170167e-07,0
13,0,-5.90497467e-07,0.06936013265,-4.577466523e-07,0.06936013265,0,-5.90497467e-07,0
14,0,-6.060531024e-07,0.07377396702,-4.682802792e-07,0.07377396702,0,-6.060531024e-07,0
15,0,-4.833283718e-07,0.07810474452,-3.662981599e-07,0.07810474452,0,-4.833283718e-07,0
16,0,-3.826736104e-07,0.08234675697,-2.892211779e-07,0.08234675697,0,-3.826736104e-07,0
17,0,-2.659890798e-07,0.08649449669,-2.301984614e-07,0.08649449669,0,-2.659890798e-07,0
18,0,-2.556108554e-07,0.09054024635,-1.971549261e-07,0.09054024635,0,-2.556108554e-07,0
19,0,-1.903499772e-07,0.09447647848,-1.715728231e-07,0.09447647848,0,-1.903499772e-07,0
20,0,-1.777914118e-07,0.09829379898,-1.576721424e-07,0.09829379898,0,-1.777914118e-07,0
21,0,-2.454375744e-07,0.1019813121,-1.625345072e-07,0.1019813121,0,-2.454375744e-07,0
22,0,-2.210724827e-07,0.1055219183,-1.546663005e-07,0.1055219183,0,-2.210724827e-07,0
23,0,-1.823965768e-07,0.1088942476,-1.394017769e-07,0.1088942476,0,-1.823965768e-07,0
24,0,-1.741726221e-07,0.1120896796,-1.322136595e-07,0.1120896796,0,-1.741726221e-07,0
25,0,-1.607783112e-07,0.1150999893,-1.256377955e-07,0.1150999893,0,-1.607783112e-07,0
26,0,-1.555210847e-07,0.1179173812,-1.19228179e-07,0.1179173812,0,-1.555210847e-07,0
27,0,-1.500023224e-07,0.1205351745,-1.130145571e-07,0.1205351745,0,-1.500023224e-07,0
28,0,-1.43740848e-07,0.1229474004,-1.067731715e-07,0.1229474004,0,-1.43740848e-07,0
29,0,-1.377486761e-07,0.125149792,-1.004965413e-07,0.125149792,0,-1.377486761e-07,0
30,0,-1.722341526e-07,0.1271396274,-1.061088701e-07,0.1271396274,0,-1.722341526e-07,0
31,0,-1.600973925e-07,0.1289157474,-9.875282671e-08,0.1289157474,0,-1.600973925e-07,0
32,0,-1.403190694e-07,0.1304781981,-9.092338571e-08,0.1304781981,0,-1.403190694e-07,0
33,0,-1.258301438e-07,0.1318293768,-8.37131254e-08,0.1318293768,0,-1.258301438e-07,0
34,0,-1.130293051e-07,0.132973697,-7.594523459e-08,0.132973697,0,-1.130293051e-07,0
35,0,-1.010725581e-07,0.1339165594,-6.837658214e-08,0.1339165594,0,-1.010725581e-07,0
36,0,-8.972763182e-08,0.1346661084,-6.079689152e-08,0.1346661084,0,-8.972763182e-08,0
37,0,-7.396370343e-08,0.1352325906,-5.13447948e-08,0.1352325906,0,-7.396370343e-08,0
38,0,-2.081742216e-08,0.1356287882,-3.174270401e-08,0.1356287882,0,-2.081742216e-08,0
39,0,-2.582600327e-08,0.1358692487,-2.86947122e-08,0.1358692487,0,-2.582600327e-08,0
40,0,-1.780001555e-08,0.1359707942,-2.02546802e-08,0.1359707942,0,-1.780001555e-08,0
41,0,-1.891509838e-08,0.1359561365,-1.541909374e-08,0.1359561365,0,-1.891509838e-08,0
42,0,3.008167275e-08,0.1358410435,8.255314356e-09,0.1358410435,0,3.008167275e-08,0
