step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,2.465190329e-32,-1.925929944e-34,3.081487911e-33,-1.925929944e-34,0,2.465190329e-32,0
1,0,3.696814648e-09,0.009321889323,1.162033758e-09,0.009321889323,0,3.696814648e-09,0
2,0,2.648181155e-09,0.01565305274,-9.315619873e-10,0.01565305274,0,2.648181155e-09,0
3,0,-6.013291437e-09,0.02118139109,-8.153193531e-09,0.02118139109,0,-6.013291437e-09,0
4,0,-4.41166209e-09,0.02629858065,-7.873146886e-09,0.02629858065,0,-4.41166209e-09,0
5,0,-1.291560646e-08,0.03114415746,-1.507570594e-08,0.03114415746,0,-1.291560646e-08,0
6,0,-2.149553305e-08,0.03578476194,-2.218641295e-08,0.03578476194,0,-2.149553305e-08,0
7,0,-2.617452925e-08,0.04025772782,-2.620237067e-08,0.04025772782,0,-2.617452925e-08,0
8,0,-1.73554808e-08,0.04458633914,-1.988172943e-08,0.04458633914,0,-1.73554808e-08,0
9,0,3.048990657e-08,0.04878641144,1.603885258e-08,0.04878641144,0,3.048990657e-08,0
10,0,5.588320617e-09,0.05286922412,-2.817170292e-09,0.05286922412,0,5.588320617e-09,0
11,0,-1.190739949e-07,0.05684302013,-9.69563842e-08,0.05684302013,0,-1.190739949e-07,0
12,0,-3.861373618e-07,0.06071388066,-3.039050373e-07,0.06071388066,0,-3.861373618e-07,0
13,0,-6.096744858e-07,0.06448561611,-4.725199584e-07,0.06448561611,0,-6.096744858e-07,0
14,0,-6.837222812e-07,0.06815912294,-5.272392e-07,0.06815912294,0,-6.837222812e-07,0
15,0,-7.124310157e-07,0.07173520406,-5.396951847e-07,0.07173520406,0,-7.124310157e-07,0
16,0,-5.697107558e-07,0.07521496266,-4.307863991e-07,0.07521496266,0,-5.697107558e-07,0
17,0,-4.207945097e-07,0.07859848691,-3.469968799e-07,0.07859848691,0,-4.207945097e-07,0
18,0,-3.776124624e-07,0.08188504393,-2.902461568e-07,0.08188504393,0,-3.776124624e-07,0
19,0,-2.63480369e-07,0.08507315517,-2.272173682e-07,0.08507315517,0,-2.63480369e-07,0
20,0,-2.196962307e-07,0.08816043028,-1.896375833e-07,0.08816043028,0,-2.196962307e-07,0
21,0,-2.680804344e-07,0.09114500234,-1.807848181e-07,0.09114500234,0,-2.680804344e-07,0
22,0,-2.331630142e-07,0.09402516074,-1.643007e-07,0.09402516074,0,-2.331630142e-07,0
23,0,-1.858269327e-07,0.09679930432,-1.435114613e-07,0.09679930432,0,-1.858269327e-07,0
24,0,-1.740999103e-07,0.09946595892,-1.326120161e-07,0.09946595892,0,-1.740999103e-07,0
25,0,-1.571473711e-07,0.1020236248,-1.232618513e-07,0.1020236248,0,-1.571473711e-07,0
26,0,-1.496228363e-07,0.1044707354,-1.150509276e-07,0.1044707354,0,-1.496228363e-07,0
27,0,-1.425618855e-07,0.1068060065,-1.076109455e-07,0.1068060065,0,-1.425618855e-07,0
28,0,-1.353372604e-07,0.109027968,-1.005110764e-07,0.109027968,0,-1.353372604e-07,0
29,0,-1.287458419e-07,0.1111355178,-9.377786549e-08,0.1111355178,0,-1.287458419e-07,0
30,0,-1.624332203e-07,0.1131279581,-9.89766101e-08,0.1131279581,0,-1.624332203e-07,0
31,0,-1.506194001e-07,0.1150053517,-9.158541064e-08,0.1150053517,0,-1.506194001e-07,0
32,0,-1.353298045e-07,0.1167702147,-8.336491599e-08,0.1167702147,0,-1.353298045e-07,0
33,0,-1.173350105e-07,0.1184220244,-7.69973199e-08,0.1184220244,0,-1.173350105e-07,0
34,0,-1.04866709e-07,0.1199607611,-6.960572994e-08,0.1199607611,0,-1.04866709e-07,0
35,0,-9.358873986e-08,0.1213859048,-6.245630444e-08,0.1213859048,0,-9.358873986e-08,0
36,0,-8.312373286e-08,0.122696764,-5.546005154e-08,0.122696764,0,-8.312373286e-08,0
37,0,-6.759275196e-08,0.1238929731,-4.683889043e-08,0.1238929731,0,-6.759275196e-08,0
38,0,-1.599675633e-08,0.1249743265,-2.676507777e-08,0.1249743265,0,-1.599675633e-08,0
39,0,-1.0638786e-08,0.1259417036,-2.147081979e-08,0.1259417036,0,-1.0638786e-08,0
40,0,-1.544366034e-08,0.1267955783,-1.848086317e-08,0.1267955783,0,-1.544366034e-08,0
41,0,-1.398923867e-08,0.1275387117,-1.236355715e-08,0.1275387117,0,-1.398923867e-08,0
42,0,2.891892326e-09,0.1281731134,1.339837477e-10,0.1281731134,0,2.891892326e-09,0
43,0,5.147263438e-08,0.1287024623,2.697142794e-08,0.1287024623,0,5.147263438e-08,0
44,0,7.847192153e-08,0.129130769,5.062187285e-08,0.129130769,0,7.847192153e-08,0
45,0,4.044051097e-09,0.1294630807,-5.010102569e-09,0.1294630807,0,4.044051097e-09,0
46,0,-7.398516696e-08,0.1297033494,-5.692561519e-08,0.1297033494,0,-7.398516696e-08,0
47,0,-1.777823259e-08,0.1298571998,-1.837363092e-08,0.1298571998,0,-1.777823259e-08,0
48,0,-2.596883001e-08,0.1299270753,-1.983185003e-08,0.1299270753,0,-2.596883001e-08,0
49,0,-1.321160347e-08,0.129917839,-1.132081716e-08,0.129917839,0,-1.321160347e-08,0
50,0,-5.781169307e-09,0.1298343273,-6.066354016e-09,0.1298343273,0,-5.781169307e-09,0
51,0,-2.645061382e-08,0.1296808177,-2.127671817e-08,0.1296808177,0,-2.645061382e-08,0
52,0,-1.272468096e-08,0.1294610915,-1.099564895e-08,0.1294610915,0,-1.272468096e-08,0
53,0,-3.116436314e-09,0.1291812366,-2.458386245e-09,0.1291812366,0,-3.116436314e-09,0
54,0,8.67411077e-09,0.1288482622,5.441926784e-09,0.1288482622,0,8.67411077e-09,0
55,0,1.590320975e-08,0.1284659386,1.03004475e-08,0.1284659386,0,1.590320975e-08,0
56,0,5.326358538e-09,0.1280408136,4.296551913e-09,0.1280408136,0,5.326358538e-09,0
57,0,-6.823772901e-10,0.1275782701,8.024686957e-10,0.1275782701,0,-6.823772901e-10,0
58,0,-1.190129158e-09,0.1270837394,5.910581261e-10,0.1270837394,0,-1.190129158e-09,0
59,0,-2.148495937e-09,0.1265599988,3.234926563e-10,0.1265599988,0,-2.148495937e-09,0
60,0,-2.53825836e-09,0.1260123878,1.764435126e-11,0.1260123878,0,-2.53825836e-09,0
61,0,-2.815722166e-09,0.1254465096,-2.509248018e-10,0.1254465096,0,-2.815722166e-09,0
