step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,3.064094748e-09,1,0,0
2,3,3.267652839e-09,1,4.325716128e-07,0.2008837013
3,3,3.92504439e-09,1,4.357796453e-07,0.2011056581
4,3,4.647790391e-09,1,4.393115197e-07,0.2013278602
5,3,5.362250712e-09,1,4.432129283e-07,0.2015503078
6,3,6.047155571e-09,1,4.475147634e-07,0.2017730012
7,3,6.696343725e-09,1,4.522488215e-07,0.2019959406
8,3,7.309845758e-09,1,4.574447011e-07,0.2022191263
9,3,7.890540243e-09,1,4.60669198e-07,0.2024425587
10,3,8.442597641e-09,1,4.632125603e-07,0.2026662379
11,3,8.970295287e-09,1,4.657783101e-07,0.2028901643
12,3,9.477313785e-09,1,4.683815768e-07,0.203114338
13,3,9.966683992e-09,1,4.710327542e-07,0.2033387595
14,3,1.044512065e-08,1,4.737394245e-07,0.2035634289
15,3,1.095516671e-08,1,4.765074573e-07,0.2037883466
16,3,1.153808276e-08,1,4.793416519e-07,0.2040135128
17,3,1.213793387e-08,1,4.822461216e-07,0.2042389277
18,3,1.271580435e-08,1,4.852289862e-07,0.2044645918
19,3,1.326577437e-08,1,4.88335935e-07,0.2046905051
20,3,1.378339578e-08,1,4.915660728e-07,0.2049166681
21,3,1.426396324e-08,1,4.949189712e-07,0.205143081
22,3,1.470305507e-08,1,4.983945486e-07,0.205369744
23,3,1.509673225e-08,1,5.019929868e-07,0.2055966575
24,3,1.544141437e-08,1,5.057146782e-07,0.2058238217
25,3,1.57339348e-08,1,5.09560164e-07,0.2060512368
26,3,1.597191216e-08,1,5.135300893e-07,0.2062789033
27,3,1.615383257e-08,1,5.176251658e-07,0.2065068213
28,3,1.627891946e-08,1,5.218461412e-07,0.2067349911
29,3,1.634959509e-08,1,5.261937727e-07,0.2069634131
30,3,1.63704413e-08,1,5.306688048e-07,0.2071920874
31,3,1.634998114e-08,1,5.352719495e-07,0.2074210144
32,3,1.633125742e-08,1,5.389655801e-07,0.2076501943
33,3,1.627179024e-08,1,5.422199097e-07,0.2078796274
34,3,1.617241035e-08,1,5.455464501e-07,0.2081093141
35,3,1.604863319e-08,1,5.489432248e-07,0.2083392545
36,3,1.591698062e-08,1,5.524089173e-07,0.208569449
37,3,1.579428938e-08,1,5.559418449e-07,0.2087998978
38,3,1.570069408e-08,1,5.595399431e-07,0.2090306013
39,3,1.565496861e-08,1,5.632007632e-07,0.2092615596
40,3,1.567149858e-08,1,5.669214582e-07,0.2094927732
41,3,1.576442684e-08,1,5.70698785e-07,0.2097242422
42,3,1.59415047e-08,1,5.745291097e-07,0.2099559669
43,3,1.620781624e-08,1,5.78408398e-07,0.2101879477
44,3,1.655877958e-08,1,5.823322163e-07,0.2104201849
45,3,1.698725664e-08,1,5.862957352e-07,0.2106526786
46,3,1.748167105e-08,1,5.90293738e-07,0.2108854292
47,3,1.802487228e-08,1,5.943206315e-07,0.2111184369
48,3,1.860067026e-08,1,5.983704612e-07,0.2113517021
49,3,1.91967042e-08,1,6.024368988e-07,0.2115852251
50,3,1.981758335e-08,1,6.065072519e-07,0.2118190061
51,3,2.041768064e-08,1,6.105645134e-07,0.2120530453
52,3,2.094067305e-08,1,6.146045619e-07,0.2122873432
53,3,2.137567254e-08,1,6.186309388e-07,0.2125218999
54,3,2.171264594e-08,1,6.226346579e-07,0.2127567158
55,3,2.194100331e-08,1,6.266066481e-07,0.2129917912
56,3,2.205557717e-08,1,6.305378389e-07,0.2132271263
57,3,2.205814751e-08,1,6.344192488e-07,0.2134627214
58,3,2.19551417e-08,1,6.382420792e-07,0.2136985768
59,3,2.175863036e-08,1,6.419978134e-07,0.2139346928
60,3,2.149074417e-08,1,6.456783199e-07,0.2141710697
61,3,2.116821831e-08,1,6.492759664e-07,0.2144077078
62,3,2.082923281e-08,1,6.527837341e-07,0.2146446073
63,3,2.051403191e-08,1,6.561953961e-07,0.2148817686
64,3,2.028517614e-08,1,6.586451836e-07,0.2151191919
65,3,2.012526361e-08,1,6.609863375e-07,0.2153568776
66,3,2.003424831e-08,1,6.632704555e-07,0.2155948259
67,3,2.004522566e-08,1,6.654733389e-07,0.215833037
68,3,2.017849603e-08,1,6.675909282e-07,0.2160715114
69,3,2.041455047e-08,1,6.694338756e-07,0.2163102493
70,3,2.079840908e-08,1,6.689345485e-07,0.216549251
71,3,2.135160468e-08,1,6.685962139e-07,0.2167885167
72,3,2.19637187e-08,1,6.684156803e-07,0.2170280468
73,3,2.260316865e-08,1,6.683933706e-07,0.2172678415
74,3,2.323758315e-08,1,6.685001059e-07,0.2175079012
75,3,2.384033926e-08,1,6.686650272e-07,0.2177482262
76,3,2.439993679e-08,1,6.689364776e-07,0.2179888167
77,3,2.488028525e-08,1,6.693590198e-07,0.218229673
78,3,2.528804872e-08,1,6.699288216e-07,0.2184707954
79,3,2.55885714e-08,1,6.706408133e-07,0.2187121843
80,3,2.579691523e-08,1,6.714967924e-07,0.2189538398
81,3,2.587912171e-08,1,6.724866484e-07,0.2191957624
82,3,2.585761562e-08,1,6.736489588e-07,0.2194379522
83,3,2.572460015e-08,1,6.749799503e-07,0.2196804097
84,3,2.550093678e-08,1,6.762191202e-07,0.2199231351
85,3,2.521819259e-08,1,6.775461689e-07,0.2201661286
86,3,2.491120431e-08,1,6.790724745e-07,0.2204093906
87,3,2.465794555e-08,1,6.806092398e-07,0.2206529214
88,3,2.448806666e-08,1,6.821433472e-07,0.2208967213
89,3,2.436314614e-08,1,6.836816233e-07,0.2211407906
90,3,2.433013656e-08,1,6.852716725e-07,0.2213851295
91,3,2.441210476e-08,1,6.869622244e-07,0.2216297384
92,3,2.462577955e-08,1,6.886948169e-07,0.2218746176
93,3,2.499001169e-08,1,6.904472221e-07,0.2221197673
94,3,2.547924344e-08,1,6.921131049e-07,0.2223651879
95,3,2.609606965e-08,1,6.933098251e-07,0.2226108797
96,3,2.684072068e-08,1,6.947429893e-07,0.2228568429
97,3,2.765731644e-08,1,6.963573337e-07,0.2231030779
98,3,2.844745501e-08,1,6.97997079e-07,0.223349585
99,3,2.916435887e-08,1,6.996746492e-07,0.2235963644
100,3,2.977851409e-08,1,7.013763963e-07,0.2238434166
101,3,3.027543736e-08,1,7.022795914e-07,0.2240907416
102,3,3.06486437e-08,1,7.023652154e-07,0.22433834
103,3,3.089925476e-08,1,7.024546732e-07,0.2245862119
104,3,3.101627959e-08,1,7.025737237e-07,0.2248343577
105,3,3.101054133e-08,1,7.027769585e-07,0.2250827776
106,3,3.088465288e-08,1,7.030775773e-07,0.2253314721
107,3,3.064764982e-08,1,7.03475989e-07,0.2255804413
108,3,3.032439978e-08,1,7.039683638e-07,0.2258296856
109,3,2.994519871e-08,1,7.045554113e-07,0.2260792053
110,3,2.954767238e-08,1,7.052358338e-07,0.2263290007
111,3,2.917938906e-08,1,7.060410926e-07,0.2265790721
112,3,2.895198521e-08,1,7.06330528e-07,0.2268294198
113,3,2.87853249e-08,1,7.066794726e-07,0.2270800441
114,3,2.8692035e-08,1,7.070959066e-07,0.2273309453
115,3,2.870649052e-08,1,7.075735588e-07,0.2275821238
116,3,2.884365776e-08,1,7.081060633e-07,0.2278335798
117,3,2.911377926e-08,1,7.086860059e-07,0.2280853136
118,3,2.952545542e-08,1,7.093148351e-07,0.2283373255
119,3,3.006821128e-08,1,7.0997461e-07,0.2285896159
120,3,3.076492291e-08,1,7.105795505e-07,0.2288421851
121,3,3.154986077e-08,1,7.112441627e-07,0.2290950333
122,3,3.23512082e-08,1,7.122273821e-07,0.2293481609
123,3,3.312782565e-08,1,7.130393207e-07,0.2296015682
124,3,3.384656361e-08,1,7.138930274e-07,0.2298552554
125,3,3.447908382e-08,1,7.147891377e-07,0.230109223
126,3,3.499661535e-08,1,7.157125619e-07,0.2303634712
127,3,3.539243898e-08,1,7.166596935e-07,0.2306180003
128,3,3.562938991e-08,1,7.176357042e-07,0.2308728106
129,3,3.571396646e-08,1,7.186464493e-07,0.2311279024
130,3,3.566508397e-08,1,7.196948383e-07,0.2313832761
131,3,3.550120748e-08,1,7.20782708e-07,0.231638932
132,3,3.524839774e-08,1,7.219081429e-07,0.2318948704
133,3,3.49267516e-08,1,7.230684204e-07,0.2321510915
134,3,3.457487475e-08,1,7.242607368e-07,0.2324075958
135,3,3.422849692e-08,1,7.254560742e-07,0.2326643834
136,3,3.396669671e-08,1,7.266589005e-07,0.2329214548
137,3,3.381617152e-08,1,7.278830076e-07,0.2331788102
138,3,3.37293967e-08,1,7.290757145e-07,0.23343645
139,3,3.371286134e-08,1,7.297511709e-07,0.2336943744
140,3,3.381573122e-08,1,7.304501948e-07,0.2339525838
141,3,3.405390433e-08,1,7.311736516e-07,0.2342110785
142,3,3.442900048e-08,1,7.316933965e-07,0.2344698588
143,3,3.494149245e-08,1,7.322296732e-07,0.2347289251
144,3,3.558252242e-08,1,7.327953114e-07,0.2349882776
145,3,3.637543188e-08,1,7.333952712e-07,0.2352479166
146,3,3.728039815e-08,1,7.340339664e-07,0.2355078426
147,3,3.819639042e-08,1,7.347137875e-07,0.2357680557
148,3,3.905698829e-08,1,7.354362228e-07,0.2360285563
149,3,3.983946707e-08,1,7.36201438e-07,0.2362893448
150,3,4.049795062e-08,1,7.370094252e-07,0.2365504214
151,3,4.099177707e-08,1,7.378599235e-07,0.2368117864
152,3,4.132398847e-08,1,7.387522372e-07,0.2370734403
153,3,4.150228876e-08,1,7.396649904e-07,0.2373353832
154,3,4.154128105e-08,1,7.406010842e-07,0.2375976156
155,3,4.145345449e-08,1,7.415837192e-07,0.2378601377
156,3,4.126838318e-08,1,7.426730629e-07,0.2381229499
157,3,4.09982835e-08,1,7.43919802e-07,0.2383860524
158,3,4.066306258e-08,1,7.450065665e-07,0.2386494457
159,3,4.031542742e-08,1,7.461492075e-07,0.23891313
160,3,4.002016205e-08,1,7.473123857e-07,0.2391771056
161,3,3.981532065e-08,1,7.480801445e-07,0.2394413729
162,3,3.973431188e-08,1,7.487689399e-07,0.2397059322
163,3,3.973262819e-08,1,7.495437431e-07,0.2399707838
164,3,3.984553191e-08,1,7.503784823e-07,0.240235928
165,3,4.009860313e-08,1,7.512486126e-07,0.2405013652
166,3,4.051580803e-08,1,7.521570118e-07,0.2407670957
167,3,4.110103016e-08,1,7.531086835e-07,0.2410331198
168,3,4.184975706e-08,1,7.540878471e-07,0.2412994378
169,3,4.277156699e-08,1,7.550809839e-07,0.24156605
170,3,4.379860278e-08,1,7.561116186e-07,0.2418329569
171,3,4.485098342e-08,1,7.571881088e-07,0.2421001586
172,3,4.582206719e-08,1,7.583115432e-07,0.2423676556
173,3,4.663667995e-08,1,7.594807174e-07,0.2426354482
174,3,4.729150091e-08,1,7.606908853e-07,0.2429035366
175,3,4.778254238e-08,1,7.619360035e-07,0.2431719212
176,3,4.809674013e-08,1,7.629416774e-07,0.2434406024
177,3,4.826265741e-08,1,7.636826485e-07,0.2437095804
178,3,4.826532912e-08,1,7.640907288e-07,0.2439788557
179,3,4.811104614e-08,1,7.644551862e-07,0.2442484284
180,3,4.783323515e-08,1,7.648279328e-07,0.244518299
181,3,4.74702182e-08,1,7.652143577e-07,0.2447884678
182,3,4.707116071e-08,1,7.656194998e-07,0.2450589351
183,3,4.670012489e-08,1,7.660492774e-07,0.2453297013
184,3,4.637498799e-08,1,7.665097207e-07,0.2456007666
185,3,4.620930743e-08,1,7.670104039e-07,0.2458721314
186,3,4.615118136e-08,1,7.675974407e-07,0.2461437961
187,3,4.619793504e-08,1,7.682436056e-07,0.2464157609
188,3,4.640823347e-08,1,7.687168015e-07,0.2466880262
189,3,4.679984411e-08,1,7.694386684e-07,0.2469605923
190,3,4.739677177e-08,1,7.702610101e-07,0.2472334596
191,3,4.81404376e-08,1,7.711140414e-07,0.2475066284
192,3,4.907743367e-08,1,7.719857534e-07,0.247780099
193,3,5.018158367e-08,1,7.728906461e-07,0.2480538717
194,3,5.137121238e-08,1,7.738318977e-07,0.248327947
195,3,5.250487623e-08,1,7.748105932e-07,0.248602325
196,3,5.349709282e-08,1,7.758286702e-07,0.2488770063
197,3,5.433726819e-08,1,7.768925469e-07,0.249151991
198,3,5.498171412e-08,1,7.780051984e-07,0.2494272796
199,3,5.543444272e-08,1,7.791660656e-07,0.2497028723
200,3,5.569199255e-08,1,7.803560835e-07,0.2499787696
201,3,5.579091774e-08,1,7.815885636e-07,0.2502549716
202,3,5.570388575e-08,1,7.828614253e-07,0.2505314789
