step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,0.2002209804,0,0.8094051421,1.487847102,1.583314189,3.642323255,2.158832335,899336.8952
1,0,3,0.2002209804,0.2008837013,0.7798726894,0.9999880684,0.9580436862,3.503091582,1.923387369,871518.6604
2,0,3,0.200442205,0.2011056581,0.7473574443,0.9813114022,0.7529173974,3.371234665,1.833959036,846023.8801
3,0,3,0.200663674,0.2013278602,0.7176850896,0.9595598014,0.6513439491,3.253924589,1.764093328,825072.2547
4,0,3,0.2008853878,0.2015503078,0.6915908478,0.9292885465,0.5936452661,3.151168235,1.704710463,807577.7251
5,0,3,0.2011073465,0.2017730012,0.6688415209,0.8958543992,0.5592100532,3.061307338,1.653346802,792623.98
6,0,3,0.2013295504,0.2019959406,0.6489726103,0.862351329,0.5385854335,2.98247016,1.608572176,779551.5477
7,0,3,0.2015519998,0.2022191263,0.6314792093,0.8301367435,0.5266201996,2.912721617,1.569169291,767884.1241
8,0,3,0.2017746951,0.2024425587,0.6158931378,0.7996517014,0.5202055921,2.850237647,1.534049845,757268.2704
9,0,3,0.2019976364,0.2026662379,0.6018053351,0.7708792146,0.5173566086,2.793377614,1.502251708,747432.4544
10,0,3,0.202220824,0.2028901643,0.5888861144,0.7436490572,0.5167882178,2.740796921,1.472993432,738161.4842
11,0,3,0.2024442582,0.203114338,0.5768843237,0.7177783162,0.5176700213,2.691472222,1.445683766,729280.6673
12,0,3,0.2026679393,0.2033387595,0.5655997268,0.6930846857,0.5195818116,2.644578792,1.419861937,720645.588
13,0,3,0.2028918675,0.2035634289,0.554800464,0.6690206846,0.5229117951,2.599132497,1.395019598,712135.2374
14,0,3,0.2031160432,0.2037883466,0.5442125885,0.6445760977,0.5285940356,2.553921193,1.370544673,703647.143
15,0,3,0.2033404666,0.2040135128,0.5337684558,0.6211228111,0.5351563673,2.508790152,1.346395435,694950.6777
16,0,3,0.2035651379,0.2042389277,0.5236789485,0.5998985915,0.5409346322,2.464479916,1.322912459,684649.5391
17,0,3,0.2037900574,0.2044645918,0.5140288138,0.5807103223,0.545876572,2.421301811,1.300205156,673893.2578
18,0,3,0.2040152255,0.2046905051,0.5048365589,0.5636209723,0.5500388087,2.379400009,1.278340296,662656.1614
19,0,3,0.2042406424,0.2049166681,0.4960832154,0.5485212265,0.5534351528,2.338737979,1.25727482,650907.7037
20,0,3,0.2044663083,0.205143081,0.4877649894,0.5353539978,0.5561336967,2.299345507,1.237011827,638617.386
21,0,3,0.2046922235,0.205369744,0.4798677733,0.523980664,0.5581922141,2.261201826,1.217522183,625759.8738
22,0,3,0.2049183884,0.2055966575,0.4723772334,0.5142431634,0.5596566031,2.224307453,1.198785368,612309.771
23,0,3,0.2051448032,0.2058238217,0.4652838242,0.5059878424,0.5605697936,2.188693668,1.180797527,598243.8295
24,0,3,0.2053714681,0.2060512368,0.4585831688,0.4990685068,0.5609822311,2.154426898,1.163574688,583541.3732
25,0,3,0.2055983835,0.2062789033,0.4522700158,0.4933342261,0.5609349394,2.121587069,1.147138453,568184.697
26,0,3,0.2058255496,0.2065068213,0.4463433685,0.4886474857,0.5604745235,2.090278124,1.131524756,552159.4574
27,0,3,0.2060529667,0.2067349911,0.4407917189,0.4848025622,0.5596254601,2.060574943,1.11674534,535455.0689
28,0,3,0.206280635,0.2069634131,0.4356054079,0.4816607142,0.558436181,2.03259699,1.102842986,518065.1867
29,0,3,0.2065085549,0.2071920874,0.4307663798,0.4790497591,0.556956092,2.006382741,1.089818808,499987.9942
30,0,3,0.2067367267,0.2074210144,0.4262780899,0.4768574742,0.5552217946,1.982157135,1.077766696,481226.7184
31,0,3,0.2069651505,0.2076501943,0.4220481829,0.4743530542,0.5532907176,1.960382538,1.066813691,465340.8505
32,0,3,0.2071938268,0.2078796274,0.4181232277,0.4723558432,0.5512607246,1.940240649,1.056689316,449106.2693
33,0,3,0.2074227557,0.2081093141,0.4145129921,0.4709387122,0.5491377384,1.921660279,1.047369893,432024.1822
34,0,3,0.2076519375,0.2083392545,0.4112092163,0.4700139832,0.5469184538,1.904732801,1.038885581,414157.8813
35,0,3,0.2078813726,0.208569449,0.4082025815,0.4694639826,0.5446100607,1.889514617,1.031248198,395575.1717
36,0,3,0.2081110612,0.2087998978,0.4054668256,0.469139643,0.5421767659,1.875993858,1.024427151,376348.5082
37,0,3,0.2083410035,0.2090306013,0.402980009,0.4689553102,0.5396245195,1.864145591,1.018398912,356555.3981
38,0,3,0.2085712,0.2092615596,0.4007140632,0.4688462079,0.5369491049,1.853913069,1.013125922,358917.4505
39,0,3,0.2088016507,0.2094927732,0.398669432,0.4688108675,0.5341591,1.845313684,1.008616563,367734.2141
40,0,3,0.2090323561,0.2097242422,0.3968237248,0.4687845855,0.5312228788,1.838240575,1.00480772,376217.2863
41,0,3,0.2092633164,0.2099559669,0.3951314918,0.468708366,0.5281154915,1.832470711,1.001582661,384250.6441
42,0,3,0.2094945319,0.2101879477,0.3935152101,0.4684773778,0.524712518,1.827517082,0.9986825304,391713.4903
43,0,3,0.2097260028,0.2104201849,0.3919334064,0.4679736638,0.5210113378,1.823008677,0.99591975,398480.8008
44,0,3,0.2099577296,0.2106526786,0.3903832154,0.4671313965,0.5171359183,1.818783402,0.9932287525,404423.9106
45,0,3,0.2101897123,0.2108854292,0.3888260565,0.4658322803,0.5130544894,1.814466449,0.99041643,409411.6657
46,0,3,0.2104219514,0.2111184369,0.3873075213,0.4641067322,0.5088969504,1.810078025,0.9875171819,413315.105
47,0,3,0.210654447,0.2113517021,0.3858230556,0.4618593604,0.5046837086,1.805447129,0.9844438126,415899.7387
48,0,3,0.2108871996,0.2115852251,0.3844035199,0.4589954762,0.5005171033,1.800815803,0.9813126209,417114.5354
49,0,3,0.2111202093,0.2118190061,0.3829289682,0.455123153,0.4962423318,1.795657736,0.9778055581,417372.1941
50,0,3,0.2113534765,0.2120530453,0.3815193861,0.4505972024,0.492244967,1.790744336,0.9743799649,416499.5043
51,0,3,0.2115870014,0.2122873432,0.3802040911,0.4457094441,0.4887160607,1.786187526,0.9711489749,413918.2293
52,0,3,0.2118207843,0.2125218999,0.3789720364,0.4404774031,0.4856130957,1.781858394,0.9680495288,409584.0905
53,0,3,0.2120548255,0.2127567158,0.3777838571,0.4348515766,0.4828656524,1.777420708,0.9649093412,403482.4142
54,0,3,0.2122891254,0.2129917912,0.3767242786,0.4290977424,0.4804659873,1.773453243,0.9620330069,395503.7688
55,0,3,0.2125236841,0.2132271263,0.3756920416,0.4229184776,0.4783315908,1.769390383,0.9591073956,384836.0372
56,0,3,0.212758502,0.2134627214,0.3747555153,0.416618545,0.4764596584,1.765639737,0.9563616203,372729.7995
57,0,3,0.2129935793,0.2136985768,0.3738742836,0.4102218484,0.4746133633,1.76219484,0.9537626074,358757.7614
58,0,3,0.2132289163,0.2139346928,0.3730758023,0.4038628427,0.4728213914,1.759110566,0.951357031,343017.5075
59,0,3,0.2134645134,0.2141710697,0.3722394092,0.3973550665,0.4709666238,1.756073458,0.9489542637,322499.5645
60,0,3,0.2137003708,0.2144077078,0.3714057185,0.3909357823,0.4690510867,1.753325848,0.9466960238,307199.8683
61,0,3,0.2139364888,0.2146446073,0.3705249983,0.3847224348,0.4669966374,1.751004357,0.9446430867,322912.4941
62,0,3,0.2141728677,0.2148817686,0.3695228869,0.3787299643,0.4647342213,1.748828058,0.9426506542,339033.75
63,0,3,0.2144095078,0.2151191919,0.3681901268,0.3727889539,0.4621837948,1.745785352,0.9402015647,353227.5515
64,0,3,0.2146464093,0.2153568776,0.3666514408,0.3675515744,0.4592216931,1.742027514,0.9374262452,364366.7679
65,0,3,0.2148835726,0.2155948259,0.3649540452,0.3631283679,0.4558743417,1.737666226,0.9343927166,374153.9225
