figure_file,case_id,figure_type,variable,source_file,caption
cylinder_m010_laminar_re20_residuals.png,cylinder_m010_laminar_re20,residual_history,residual_l2,cylinder_m010_laminar_re20/residuals.csv,Residual convergence history (total $L_2$ norm and per-equation component norms) for case cylinder_m010_laminar_re20.
cylinder_m010_laminar_re20_forces.png,cylinder_m010_laminar_re20,force_history,force_coefficients_cl_cd,cylinder_m010_laminar_re20/forces.csv,Lift and drag coefficient history versus physical time for case cylinder_m010_laminar_re20.
cylinder_m010_laminar_re20_cp.png,cylinder_m010_laminar_re20,surface_line,surface_pressure_coefficient_cp,cylinder_m010_laminar_re20/surface.csv,Surface pressure coefficient $C_p$ along the cylinder wall for case cylinder_m010_laminar_re20.
cylinder_m010_laminar_re20_cf.png,cylinder_m010_laminar_re20,surface_line,skin_friction_coefficient_cf,cylinder_m010_laminar_re20/surface.csv,Wall skin-friction coefficient $C_f$ along the cylinder surface for case cylinder_m010_laminar_re20.
cylinder_m010_laminar_re20_mach.png,cylinder_m010_laminar_re20,field_contour,mach,cylinder_m010_laminar_re20/field_final.vtu,"Mach number field for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re20_mach_farfield.png,cylinder_m010_laminar_re20,field_contour,mach,cylinder_m010_laminar_re20/field_final.vtu,"Mach number field, whole domain for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re20_pressure.png,cylinder_m010_laminar_re20,field_contour,pressure,cylinder_m010_laminar_re20/field_final.vtu,"Pressure field for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re20_velocity.png,cylinder_m010_laminar_re20,field_contour,velocity_magnitude,cylinder_m010_laminar_re20/field_final.vtu,"Velocity magnitude field for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re20_vorticity.png,cylinder_m010_laminar_re20,field_contour,vorticity,cylinder_m010_laminar_re20/field_final.vtu,"Vorticity field for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re200_residuals.png,cylinder_m010_laminar_re200,residual_history,residual_l2,cylinder_m010_laminar_re200/residuals.csv,Residual convergence history (total $L_2$ norm and per-equation component norms) for case cylinder_m010_laminar_re200.
