x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-0.2938926261,-0.4045084972,-0.5877852523,-0.8090169944,7.06339736e+01,-1.58919571e+00,-5.93449605e-02,9.68216086e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
0.2269952499,0.4455032621,0.4539904997,0.8910065242,7.05031110e+01,-1.85092076e+00,1.36119693e-01,9.62981585e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
0.2777851165,-0.4157348062,0.555570233,-0.8314696123,7.06318145e+01,-1.59351386e+00,-1.19924853e-01,9.68129723e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.3247240242,-0.3802029828,-0.6494480483,-0.7604059656,7.07696899e+01,-1.31776300e+00,-4.95198974e-02,9.73644740e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
0.2269952499,-0.4455032621,0.4539904997,-0.8910065242,7.05031110e+01,-1.85092076e+00,-1.36119693e-01,9.62981585e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
0.1730585285,-0.469095668,0.3461170571,-0.9381913359,7.03823484e+01,-2.09244614e+00,-1.48577612e-01,9.58151077e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.2612492824,-0.4263200822,-0.5224985647,-0.8526401644,7.05103207e+01,-1.83650153e+00,-7.02946794e-02,9.63269969e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.4157348062,0.2777851165,-0.8314696123,0.555570233,7.12850926e+01,-2.86957757e-01,2.42370899e-02,9.94260845e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-9.184850994e-17,-0.5,-1.836970199e-16,-1,7.01535714e+01,-2.55000000e+00,-1.49265914e-01,9.49000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.4619397663,0.1913417162,-0.9238795325,0.3826834324,7.16170702e+01,3.76997601e-01,1.32437154e-02,1.00753995e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
0.1545084972,-0.4755282581,0.3090169944,-0.9510565163,7.03453333e+01,-2.16647634e+00,-1.51581286e-01,9.56670473e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.2777851165,0.4157348062,-0.555570233,0.8314696123,7.05704374e+01,-1.71626809e+00,6.46873113e-02,9.65674638e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
0.4984586669,0.03922954786,0.9969173337,0.07845909573,7.12740226e+01,-3.09097634e-01,6.75392063e-03,9.93818047e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.4455032621,-0.2269952499,-0.8910065242,-0.4539904997,7.14932892e+01,1.29435540e-01,-1.70976978e-02,1.00258871e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.2443106207,0.4362480035,-0.4886212415,0.8724960071,7.04539825e+01,-1.94917794e+00,7.61417968e-02,9.61016441e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.3095469747,-0.3926584654,-0.6190939493,-0.7853169309,7.07005340e+01,-1.45607492e+00,-5.42854748e-02,9.70878502e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
-0.05876869873,0.4965342285,-0.1175373975,0.993068457,7.01480504e+01,-2.56104205e+00,1.36745987e-01,9.48779159e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,WALL
