step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000,6,1.0500,0.01,9.08184883e-02,6.53893116e-02,4.63174290e-02,1.22604959e-01,9.08184883e-02,4.17765046e-01
2,0.000000,6,1.1000,0.01,9.78020213e-02,7.04174553e-02,4.98790308e-02,1.32032729e-01,9.78020213e-02,4.49889298e-01
3,0.000000,6,1.1500,0.01,9.98253487e-02,7.18742511e-02,5.09109278e-02,1.34764221e-01,9.98253487e-02,4.59196604e-01
4,0.000000,6,1.2000,0.01,9.57710671e-02,6.89551683e-02,4.88432442e-02,1.29290941e-01,9.57710671e-02,4.40546909e-01
5,0.000000,6,1.2500,0.01,9.79013338e-02,7.04889604e-02,4.99296802e-02,1.32166801e-01,9.79013338e-02,4.50346136e-01
6,0.000000,6,1.3000,0.01,1.06164145e-01,7.64381845e-02,5.41437140e-02,1.43321596e-01,1.06164145e-01,4.88355067e-01
7,0.000000,7,1.3500,0.01,8.47353056e-02,6.10094200e-02,4.32150058e-02,1.14392663e-01,8.47353056e-02,3.89782406e-01
8,0.000000,7,1.4000,0.01,9.46219535e-02,6.81278065e-02,4.82571963e-02,1.27739637e-01,9.46219535e-02,4.35260986e-01
9,0.000000,7,1.4500,0.01,8.17835187e-02,5.88841334e-02,4.17095945e-02,1.10407750e-01,8.17835187e-02,3.76204186e-01
10,0.000000,7,1.5000,0.01,8.96100697e-02,6.45192502e-02,4.57011356e-02,1.20973594e-01,8.96100697e-02,4.12206321e-01
11,0.000000,7,1.5500,0.01,8.47620723e-02,6.10286920e-02,4.32286569e-02,1.14428798e-01,8.47620723e-02,3.89905532e-01
12,0.000000,7,1.6000,0.01,9.15862586e-02,6.59421062e-02,4.67089919e-02,1.23641449e-01,9.15862586e-02,4.21296789e-01
13,0.000000,7,1.6500,0.01,8.11761797e-02,5.84468494e-02,4.13998517e-02,1.09587843e-01,8.11761797e-02,3.73410427e-01
