step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.010000,1.00000000e-06,1.06309389e+00,1.10000000e-07,8.29213235e-01,2.33880656e-01,7.80000000e-07,2.20000000e-07
2,0.020000,1.00000000e-06,1.06615360e+00,1.10000000e-07,8.31599805e-01,2.34553791e-01,7.80000000e-07,2.20000000e-07
3,0.030000,1.00000000e-06,1.06917949e+00,1.10000000e-07,8.33960004e-01,2.35219488e-01,7.80000000e-07,2.20000000e-07
4,0.040000,1.00000000e-06,1.07217195e+00,1.10000000e-07,8.36294123e-01,2.35877830e-01,7.80000000e-07,2.20000000e-07
5,0.050000,1.00000000e-06,1.07513135e+00,1.10000000e-07,8.38602452e-01,2.36528897e-01,7.80000000e-07,2.20000000e-07
6,0.060000,1.00000000e-06,1.07805804e+00,1.10000000e-07,8.40885274e-01,2.37172770e-01,7.80000000e-07,2.20000000e-07
7,0.070000,1.00000000e-06,1.08095240e+00,1.10000000e-07,8.43142873e-01,2.37809528e-01,7.80000000e-07,2.20000000e-07
8,0.080000,1.00000000e-06,1.08381478e+00,1.10000000e-07,8.45375525e-01,2.38439251e-01,7.80000000e-07,2.20000000e-07
9,0.090000,1.00000000e-06,1.08664552e+00,1.10000000e-07,8.47583508e-01,2.39062015e-01,7.80000000e-07,2.20000000e-07
10,0.100000,1.00000000e-06,1.08944499e+00,1.10000000e-07,8.49767093e-01,2.39677898e-01,7.80000000e-07,2.20000000e-07
11,0.110000,1.00000000e-06,1.09221353e+00,1.10000000e-07,8.51926551e-01,2.40286976e-01,7.80000000e-07,2.20000000e-07
12,0.120000,1.00000000e-06,1.09495147e+00,1.10000000e-07,8.54062147e-01,2.40889324e-01,7.80000000e-07,2.20000000e-07
13,0.130000,1.00000000e-06,1.09765916e+00,1.10000000e-07,8.56174146e-01,2.41485016e-01,7.80000000e-07,2.20000000e-07
14,0.140000,1.00000000e-06,1.10033693e+00,1.10000000e-07,8.58262808e-01,2.42074125e-01,7.80000000e-07,2.20000000e-07
15,0.150000,1.00000000e-06,1.10298512e+00,1.10000000e-07,8.60328391e-01,2.42656726e-01,7.80000000e-07,2.20000000e-07
16,0.160000,1.00000000e-06,1.10560404e+00,1.10000000e-07,8.62371151e-01,2.43232889e-01,7.80000000e-07,2.20000000e-07
17,0.170000,1.00000000e-06,1.10819402e+00,1.10000000e-07,8.64391338e-01,2.43802685e-01,7.80000000e-07,2.20000000e-07
18,0.180000,1.00000000e-06,1.11075539e+00,1.10000000e-07,8.66389204e-01,2.44366186e-01,7.80000000e-07,2.20000000e-07
19,0.190000,1.00000000e-06,1.11328845e+00,1.10000000e-07,8.68364993e-01,2.44923460e-01,7.80000000e-07,2.20000000e-07
20,0.200000,1.00000000e-06,1.11579353e+00,1.10000000e-07,8.70318951e-01,2.45474576e-01,7.80000000e-07,2.20000000e-07
21,0.210000,1.00000000e-06,1.11827092e+00,1.10000000e-07,8.72251319e-01,2.46019603e-01,7.80000000e-07,2.20000000e-07
22,0.220000,1.00000000e-06,1.12072094e+00,1.10000000e-07,8.74162334e-01,2.46558607e-01,7.80000000e-07,2.20000000e-07
23,0.230000,1.00000000e-06,1.12314389e+00,1.10000000e-07,8.76052234e-01,2.47091656e-01,7.80000000e-07,2.20000000e-07
24,0.240000,1.00000000e-06,1.12554007e+00,1.10000000e-07,8.77921251e-01,2.47618814e-01,7.80000000e-07,2.20000000e-07
25,0.250000,1.00000000e-06,1.12790976e+00,1.10000000e-07,8.79769616e-01,2.48140148e-01,7.80000000e-07,2.20000000e-07
26,0.260000,1.00000000e-06,1.13025328e+00,1.10000000e-07,8.81597557e-01,2.48655721e-01,7.80000000e-07,2.20000000e-07
